mode,seed,use_season,use_product,n_products,n_seasons,v_opt,v_behaviour,vanillaDT,structuredDT_context,EtO_structured,inmodel_structured,truegap_structured,EtO_unconstrained,inmodel_unconstrained,truegap_unconstrained
baseline,0,False,False,1,1,482.057,426.423,0.24,0.498,-4.494,1353.148,1176.717,0.493,487.268,33.402
baseline,1,False,False,1,1,478.315,422.235,0.331,0.534,-4.519,1715.316,1546.519,0.572,494.771,40.465
baseline,2,False,False,1,1,479.194,423.772,0.602,0.196,-4.546,1405.095,1233.276,-0.045,496.049,74.744
baseline,3,False,False,1,1,479.163,422.373,0.561,-0.251,-4.377,1613.425,1439.634,0.841,475.452,5.34
baseline,4,False,False,1,1,480.602,424.997,0.623,0.506,-4.452,1535.011,1357.546,0.68,480.573,17.775
baseline,5,False,False,1,1,477.756,420.215,0.48,0.714,-4.306,1539.527,1367.103,0.968,473.22,-2.674
baseline,6,False,False,1,1,481.348,426.774,0.615,0.627,-4.539,1430.21,1251.162,0.56,495.127,37.774
baseline,7,False,False,1,1,481.402,425.81,0.574,0.486,-4.466,1439.516,1262.004,0.691,474.494,10.276
baseline,8,False,False,1,1,474.734,417.909,0.602,0.071,-4.361,1589.477,1419.369,0.775,477.832,15.884
baseline,9,False,False,1,1,483.132,426.931,0.414,0.796,-4.54,1706.173,1534.384,0.791,491.427,20.017
season_product,0,True,True,3,4,493.448,428.567,0.374,0.424,-3.498,2190.406,1988.762,0.775,496.156,17.284
season_product,1,True,True,3,4,491.44,424.39,0.484,0.382,-3.327,1723.559,1522.263,0.904,503.537,18.536
season_product,2,True,True,3,4,498.209,432.34,0.433,0.462,-3.455,1663.157,1458.406,0.835,500.655,13.336
season_product,3,True,True,3,4,499.567,432.479,0.516,0.489,-3.428,2029.426,1826.907,0.894,525.755,33.271
season_product,4,True,True,3,4,495.777,429.696,0.448,0.275,-3.391,1727.827,1522.237,0.447,518.59,59.388
season_product,5,True,True,3,4,499.745,431.751,0.191,0.369,-3.406,1313.009,1112.877,0.777,533.467,48.86
season_product,6,True,True,3,4,504.555,437.912,0.426,0.398,-3.512,1925.549,1721.705,0.929,502.281,2.424
season_product,7,True,True,3,4,500.387,434.087,0.513,0.425,-3.424,1425.87,1218.818,0.867,456.499,-35.054
season_product,8,True,True,3,4,482.361,417.527,0.462,0.357,-3.515,1706.852,1517.243,0.816,488.686,18.234
season_product,9,True,True,3,4,498.394,432.696,0.405,0.322,-3.583,1522.394,1325.084,0.896,520.042,28.451
