cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9397689228703332,0.05010899253650563,0.9532064346451432,474.19583042195234,0.0,0.7826992315127155
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained support top3,EtO,10,0.9371305207931512,0.04693174294252262,0.9474594646041175,474.0574986928406,0.0,0.7763051459108173
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.9199748797008533,0.06009878580278447,0.9289803596582411,473.07143772843864,0.0,0.7788544775473182
N100_noise0p05,100,0.05,Estimate-then-optimise structured support top3,EtO,10,0.8762534692724222,0.07749456151058783,0.8892644576752419,470.5851407644444,0.0,0.7719885244515009
N100_noise0p05,100,0.05,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.6725987769130606,0.06583637646736515,0.6682671030770853,458.85730086393625,0.0,0.8074538189408027
N100_noise0p05,100,0.05,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.5175302550373302,0.03906752627259657,0.5090497414447894,449.9461865031593,0.0,0.8208985720454788
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained,EtO,10,0.43580844329940094,0.08523696707258864,0.44696622839394407,445.3150961087346,0.9251250000000001,0.04857424413307944
N100_noise0p05,100,0.05,Behaviour cloning,BC,10,0.3998738785872625,0.07160665248069686,0.40019720276050647,443.19135939097487,0.177375,0.7595639199608952
N100_noise0p05,100,0.05,Behaviour cloning support top3,BC,10,0.32525929940679277,0.10460246208372094,0.34536344335339975,438.90014080833464,0.0,0.8794633923923655
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.023340623875558287,0.20341865209348287,-0.01634404615130385,418.9081560514163,0.74925,0.18393486459561173
N100_noise0p05,100,0.05,Estimate-then-optimise unconstrained learned-transition,EtO,10,-0.1383396337655401,0.31172944296618943,-0.057334203592749745,412.4353047706336,0.8563750000000001,0.13549865404496333
N100_noise0p05,100,0.05,Estimate-then-optimise structured empirical-transition,EtO,10,-3.078536986539188,0.2528748062082423,-3.1717162536163075,243.75223603547497,0.7693749999999999,0.21133772334163575
N100_noise0p05,100,0.05,Estimate-then-optimise structured,EtO,10,-4.325970531965555,0.20178667691104812,-4.314643609785845,172.1661173996809,0.908375,0.096659205318791
N100_noise0p05,100,0.05,Estimate-then-optimise structured learned-transition,EtO,10,-4.556784082847787,0.18451023673667455,-4.574577786626423,158.9239809026422,0.9268750000000001,0.11170072687696328
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9450904988608169,0.052513334128721965,0.973633827875792,474.5082513953839,0.0,0.7814382425017266
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained support top3,EtO,10,0.9184279484694784,0.059659246903655636,0.9286844199238393,473.01014079041613,0.0,0.7788797440047169
N100_noise0p2,100,0.2,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.894516031150092,0.08453177376590702,0.920470804899845,471.63878799118874,0.0,0.7751702256391844
N100_noise0p2,100,0.2,Estimate-then-optimise structured support top3,EtO,10,0.8783281314667709,0.06729066192742107,0.8892644576752419,470.6916361648747,0.0,0.7741211054725331
N100_noise0p2,100,0.2,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.6725987769130606,0.06583637646736515,0.6682671030770853,458.85730086393625,0.0,0.8074538189408027
N100_noise0p2,100,0.2,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.5002805751546817,0.04410832930575657,0.49780584229616853,448.992179223089,0.0,0.8285899917482095
