seed,coverage,spearman_A,spearman_B,argmax_A,argmax_B,spearman_A_incov,spearman_B_incov,spearman_A_oocov,spearman_B_oocov,argmax_A_oocov,argmax_B_oocov
0,0.62,-0.174,0.56,0.321,0.333,-0.112,0.434,-0.274,0.763,0.125,0.484
1,0.62,-0.185,0.649,0.321,0.429,-0.135,0.576,-0.269,0.771,0.127,0.508
2,0.65,-0.175,0.583,0.321,0.321,-0.131,0.456,-0.258,0.824,0.138,0.569
3,0.63,-0.195,0.57,0.321,0.321,-0.145,0.478,-0.28,0.727,0.129,0.339
4,0.58,-0.199,0.561,0.321,0.298,-0.159,0.454,-0.255,0.712,0.186,0.471
5,0.61,-0.172,0.6,0.321,0.458,-0.12,0.523,-0.253,0.721,0.167,0.47
6,0.61,-0.184,0.637,0.321,0.399,-0.136,0.574,-0.258,0.735,0.182,0.439
7,0.64,-0.185,0.549,0.321,0.262,-0.152,0.427,-0.245,0.763,0.131,0.459
8,0.54,-0.197,0.667,0.321,0.446,-0.196,0.59,-0.198,0.758,0.221,0.506
9,0.63,-0.186,0.571,0.321,0.387,-0.136,0.489,-0.272,0.711,0.129,0.452
