seed,N,noise,backend,ho_logmse_A,ho_logmse_B,ho_logmse_Bp,true_rmse_A,true_rmse_B,true_rmse_Bp,A_structured,B_mlp,Bp_xgb,Bp_smoothByStart,Bp_lowvar,tgt_std_A,tgt_std_Bp,qsurf_resid_A,qsurf_resid_Bp
0,100,0.5,xgboost,0.2972,0.2528,0.3141,317.357,10.046,35.541,0.609,0.653,0.436,0.436,0.436,226.1,267.1,99.77,37.9
1,100,0.5,xgboost,0.2885,0.2651,0.3513,240.601,10.132,48.162,0.509,0.253,0.307,0.31,0.287,206.2,396.0,72.23,76.17
2,100,0.5,xgboost,0.28,0.2665,0.2751,260.254,9.455,28.774,0.644,0.408,0.409,0.384,0.409,219.9,246.5,84.3,67.42
3,100,0.5,xgboost,0.2673,0.2353,0.2848,303.531,9.245,37.869,0.117,0.411,0.46,0.409,0.355,212.5,272.9,93.6,82.09
4,100,0.5,xgboost,0.2964,0.2773,0.2934,235.317,9.364,48.039,0.695,0.163,0.376,0.351,0.348,197.4,560.2,71.84,109.54
5,100,0.5,xgboost,0.2688,0.2787,0.2522,341.497,11.165,28.365,0.465,0.41,0.361,0.361,0.361,209.6,216.6,101.33,29.97
6,100,0.5,xgboost,0.2627,0.2478,0.293,263.234,13.099,38.801,0.615,0.127,0.518,0.414,0.522,196.3,370.1,81.07,48.06
7,100,0.5,xgboost,0.2142,0.2058,0.2227,267.18,9.195,33.34,0.54,0.412,0.47,0.513,0.458,210.5,340.5,84.56,48.67
8,100,0.5,xgboost,0.2543,0.244,0.3486,235.922,7.081,23.518,0.669,0.334,0.533,0.533,0.533,210.7,170.6,75.25,50.21
9,100,0.5,xgboost,0.256,0.2337,0.2863,322.869,13.614,51.715,0.746,0.325,0.707,0.551,0.707,220.9,297.0,99.4,70.59
