seed,arm,margin_heldout,beat_heldout,margin_default,beat_default,chosen
0,vanillaDT,-7.68,0.067,-8.77,0.067,q1.0
0,QDT_legacy,-15.86,0.067,-14.0,0.067,q0.9
0,QDT_td,-8.08,0.067,-7.68,0.067,q0.99
0,QDT_qsa,-16.33,0.067,-13.12,0.067,q0.99
0,structuredDT,-17.07,0.067,-11.64,0.2,q0.975
0,oracle_Qstar,-9.93,0.067,-8.26,0.067,max x1.25
1,vanillaDT,0.85,0.5,-13.4,0.286,max x1.25
1,QDT_legacy,-9.38,0.429,-34.78,0.071,q0.8
1,QDT_td,-1.46,0.5,0.14,0.5,q0.975
1,QDT_qsa,2.2,0.571,-1.26,0.571,q0.9
1,structuredDT,3.31,0.643,-4.27,0.5,q0.975
1,oracle_Qstar,-7.21,0.429,-16.38,0.143,max x1.5
2,vanillaDT,-18.21,0.133,-19.42,0.067,q1.0
2,QDT_legacy,-19.48,0.133,-25.23,0.133,max x1.5
2,QDT_td,-4.44,0.333,-19.37,0.067,max x1.5
2,QDT_qsa,-7.58,0.333,-7.58,0.333,q0.95
2,structuredDT,-3.52,0.467,-3.52,0.467,q0.95
2,oracle_Qstar,-18.21,0.133,-18.4,0.067,max x1.25
3,vanillaDT,-12.85,0.267,-12.85,0.267,q0.975
3,QDT_legacy,-1.48,0.467,-6.84,0.467,q0.925
3,QDT_td,-0.53,0.533,-14.11,0.2,max x1.25
3,QDT_qsa,-3.11,0.533,-8.73,0.333,q1.0
3,structuredDT,8.42,0.6,8.42,0.6,q0.95
3,oracle_Qstar,-12.85,0.267,-12.85,0.267,q0.95
4,vanillaDT,-14.35,0.0,-20.78,0.0,q0.99
4,QDT_legacy,-17.67,0.067,-18.69,0.067,q0.925
4,QDT_td,-10.51,0.133,-6.98,0.2,q0.975
4,QDT_qsa,-9.67,0.2,-14.44,0.2,q0.975
4,structuredDT,-12.1,0.133,-12.1,0.133,q0.95
4,oracle_Qstar,-9.24,0.4,-35.48,0.0,max x1.25
5,vanillaDT,1.96,0.6,-11.19,0.2,max x2.0
5,QDT_legacy,-4.57,0.467,-4.57,0.467,q0.95
5,QDT_td,1.78,0.467,-8.9,0.4,q0.975
5,QDT_qsa,-1.06,0.4,-1.06,0.4,q0.975
5,structuredDT,8.98,0.667,0.26,0.467,q0.99
5,oracle_Qstar,-1.65,0.4,-14.12,0.2,max x2.0
6,vanillaDT,-4.17,0.2,-11.13,0.267,q0.975
6,QDT_legacy,-13.9,0.333,-7.86,0.333,q0.9
6,QDT_td,-1.94,0.2,-11.23,0.133,q1.0
6,QDT_qsa,-8.6,0.4,-3.99,0.4,q0.9
6,structuredDT,-9.28,0.267,-3.93,0.2,q0.925
6,oracle_Qstar,-11.21,0.267,-17.74,0.133,q0.975
7,vanillaDT,-2.54,0.467,-27.24,0.267,max x2.0
7,QDT_legacy,0.07,0.4,0.07,0.4,q0.95
7,QDT_td,5.95,0.533,4.18,0.467,q1.0
7,QDT_qsa,2.59,0.467,3.46,0.467,q0.925
7,structuredDT,2.44,0.4,5.55,0.467,q0.975
7,oracle_Qstar,-0.91,0.4,-26.67,0.267,max x1.25
8,vanillaDT,-14.31,0.133,-12.4,0.067,q1.0
8,QDT_legacy,-11.97,0.133,-38.17,0.067,q0.8
8,QDT_td,-1.9,0.267,-1.9,0.267,q0.95
8,QDT_qsa,-1.57,0.267,-4.32,0.267,q0.85
8,structuredDT,-0.75,0.267,-0.75,0.267,q0.95
8,oracle_Qstar,-7.6,0.133,-12.46,0.067,q1.0
9,vanillaDT,-10.66,0.2,-14.25,0.133,q0.975
9,QDT_legacy,-16.45,0.2,-15.6,0.067,q0.925
9,QDT_td,-8.66,0.267,-8.25,0.267,q0.99
9,QDT_qsa,-11.24,0.467,-11.24,0.467,q0.95
9,structuredDT,-1.49,0.467,-5.19,0.467,q0.975
9,oracle_Qstar,-10.74,0.2,-30.63,0.0,max x1.25
