N,seed,nv_vanillaDT,nv_QDT_legacy,nv_QDT_td,nv_QDT_qsa,nv_structuredDT
100,0,0.619,0.588,0.662,0.579,0.609
100,1,0.453,0.127,0.671,0.669,0.599
100,2,0.395,0.314,0.407,0.609,0.675
100,3,0.417,0.504,0.409,0.45,0.797
100,4,0.475,0.538,0.682,0.587,0.636
100,5,0.414,0.554,0.451,0.587,0.667
100,6,0.552,0.586,0.574,0.685,0.697
100,7,0.091,0.568,0.645,0.616,0.612
100,8,0.457,0.073,0.665,0.625,0.683
100,9,0.54,0.533,0.645,0.631,0.723
400,0,0.563,0.438,0.719,0.774,0.721
400,1,0.533,0.126,0.825,0.829,0.689
400,2,0.444,0.532,0.74,0.845,0.65
400,3,0.594,0.14,0.781,0.791,0.778
400,4,0.373,-0.103,0.816,0.775,0.549
400,5,0.632,0.552,0.646,0.825,0.821
400,6,0.618,0.073,0.788,0.448,0.865
400,7,0.501,0.022,0.821,0.818,0.758
400,8,0.511,0.182,0.782,0.757,0.692
400,9,0.541,0.214,0.74,0.807,0.679
1600,0,0.625,0.297,0.736,-0.305,0.709
1600,1,0.507,0.161,0.807,0.808,0.806
1600,2,0.527,0.148,0.765,0.667,0.635
1600,3,0.527,0.547,0.81,0.783,0.71
1600,4,0.531,0.189,0.751,0.75,0.654
1600,5,0.625,0.275,0.269,0.767,0.729
1600,6,0.578,0.5,0.775,0.58,0.58
1600,7,0.486,0.022,0.785,0.845,0.535
1600,8,0.452,0.151,0.768,0.777,0.706
1600,9,0.618,0.116,0.743,0.743,0.722
