drift,seed,logger_tv,v_true,bias_pooled_estpi,bias_mis,mis_coverage
0.0,0,0.0,376.23,108.46,300.63,0.207
0.0,1,0.0,347.22,195.25,346.63,0.231
0.0,2,0.0,381.02,72.86,305.71,0.166
0.0,3,0.0,320.72,227.66,394.34,0.136
0.0,4,0.0,340.92,210.92,399.81,0.078
0.0,5,0.0,364.64,182.15,284.65,0.288
0.0,6,0.0,353.04,139.47,364.99,0.121
0.0,7,0.0,343.92,227.13,388.04,0.131
0.0,8,0.0,359.78,137.7,351.68,0.056
0.0,9,0.0,358.26,233.91,312.06,0.25
0.25,0,0.05,386.68,103.53,276.78,0.352
0.25,1,0.05,374.69,254.62,252.14,0.378
0.25,2,0.05,389.0,131.07,188.63,0.289
0.25,3,0.05,321.39,235.13,392.45,0.153
0.25,4,0.05,338.59,218.65,387.03,0.232
0.25,5,0.05,358.49,142.14,318.11,0.048
0.25,6,0.05,356.47,120.34,364.43,0.083
0.25,7,0.05,327.74,234.45,414.5,0.125
0.25,8,0.05,382.32,122.07,249.86,0.253
0.25,9,0.05,347.04,240.71,369.1,0.12
0.5,0,0.125,380.14,138.22,302.65,0.354
0.5,1,0.125,414.56,190.88,121.91,0.618
0.5,2,0.125,416.49,139.18,153.83,0.576
0.5,3,0.125,337.9,199.94,414.82,0.11
0.5,4,0.125,345.25,182.34,375.95,0.104
0.5,5,0.125,374.12,122.97,213.82,0.474
0.5,6,0.125,370.51,149.56,280.02,0.222
0.5,7,0.125,407.84,372.09,175.89,0.585
0.5,8,0.125,412.48,114.37,159.43,0.622
0.5,9,0.125,355.52,276.13,333.72,0.193
0.75,0,0.232,386.87,164.79,308.54,0.385
0.75,1,0.232,437.59,312.61,75.76,0.794
0.75,2,0.232,432.91,172.31,65.41,0.621
0.75,3,0.232,367.27,227.06,301.8,0.24
0.75,4,0.232,384.54,267.79,197.81,0.3
0.75,5,0.232,437.38,179.2,53.55,0.77
0.75,6,0.232,381.46,198.98,253.39,0.31
0.75,7,0.232,342.34,236.66,348.11,0.266
0.75,8,0.232,405.29,397.49,179.32,0.585
0.75,9,0.232,402.98,171.53,153.76,0.473
