drift,seed,logger_tv,v_true,bias_pooled_estpi,bias_segmented_estpi,bias_segmented_shrunk_estpi,n_detected_segments
0.0,0,0.0,376.23,108.46,108.46,108.46,1
0.0,1,0.0,347.22,195.25,195.25,195.25,1
0.0,2,0.0,381.02,72.86,72.86,72.86,1
0.0,3,0.0,320.72,227.66,227.66,227.66,1
0.0,4,0.0,340.92,210.92,210.92,210.93,1
0.0,5,0.0,364.64,182.15,182.15,182.16,1
0.0,6,0.0,353.04,139.47,139.47,139.47,1
0.0,7,0.0,343.92,227.13,227.13,227.13,1
0.0,8,0.0,359.78,137.7,137.7,137.71,1
0.0,9,0.0,358.26,233.91,233.91,233.91,1
0.25,0,0.05,386.68,103.53,103.53,103.53,1
0.25,1,0.05,374.69,254.62,254.62,254.63,1
0.25,2,0.05,389.0,131.07,146.42,146.04,2
0.25,3,0.05,321.39,235.13,235.13,235.13,1
0.25,4,0.05,338.59,218.65,218.65,218.66,1
0.25,5,0.05,358.49,142.14,142.14,142.14,1
0.25,6,0.05,356.47,120.34,120.34,120.34,1
0.25,7,0.05,327.74,234.45,234.45,234.45,1
0.25,8,0.05,382.32,122.07,122.07,122.08,1
0.25,9,0.05,347.04,240.71,240.71,240.72,1
0.5,0,0.125,380.14,138.22,143.27,143.1,2
0.5,1,0.125,414.56,190.88,228.24,226.87,2
0.5,2,0.125,416.49,139.18,175.98,171.75,2
0.5,3,0.125,337.9,199.94,203.86,203.51,2
0.5,4,0.125,345.25,182.34,190.32,190.17,2
0.5,5,0.125,374.12,122.97,131.06,130.52,2
0.5,6,0.125,370.51,149.56,156.61,156.2,2
0.5,7,0.125,407.84,372.09,405.61,403.75,2
0.5,8,0.125,412.48,114.37,121.92,121.72,2
0.5,9,0.125,355.52,276.13,301.51,300.61,2
0.75,0,0.232,386.87,164.79,170.72,170.58,2
0.75,1,0.232,437.59,312.61,362.31,352.71,2
0.75,2,0.232,432.91,172.31,161.34,161.77,3
0.75,3,0.232,367.27,227.06,228.04,227.9,2
0.75,4,0.232,384.54,267.79,285.81,285.05,2
0.75,5,0.232,437.38,179.2,172.0,172.23,2
0.75,6,0.232,381.46,198.98,194.16,194.49,2
0.75,7,0.232,342.34,236.66,242.27,241.1,2
0.75,8,0.232,405.29,397.49,500.73,488.99,3
0.75,9,0.232,402.98,171.53,179.61,179.5,2
