seed,v_opt,A_structured,infl_A_structured,corr_A_structured,QDT_legacy,infl_QDT_legacy,corr_QDT_legacy,QDT_td,infl_QDT_td,corr_QDT_td,QDT_td_dn,infl_QDT_td_dn,corr_QDT_td_dn,QDT_qsa,infl_QDT_qsa,corr_QDT_qsa,oracle_Qstar,infl_oracle_Qstar,corr_oracle_Qstar,oracle_matchA,infl_oracle_matchA,corr_oracle_matchA,scale_oracle_to_A
0,482.1,0.609,1.259,0.945,0.588,12.709,0.979,0.662,12.499,0.921,0.662,12.489,0.924,0.579,10.423,0.918,0.594,0.988,0.994,0.639,1.445,0.994,1.46
1,478.3,0.599,1.181,0.884,0.127,20.554,0.977,0.671,20.972,0.864,0.673,20.96,0.862,0.669,16.749,0.919,0.387,0.991,0.997,0.387,1.392,0.997,1.4
2,479.2,0.675,1.258,0.895,0.314,15.317,0.979,0.407,15.048,0.855,0.407,15.033,0.852,0.609,12.525,0.878,0.403,0.991,0.997,0.403,1.422,0.997,1.44
3,479.2,0.797,1.287,0.903,0.504,20.358,0.979,0.409,20.041,0.81,0.409,20.013,0.807,0.45,16.363,0.903,0.428,0.989,0.993,0.428,1.465,0.993,1.48
4,480.6,0.636,1.238,0.921,0.538,14.814,0.982,0.682,14.792,0.892,0.663,14.775,0.89,0.587,12.07,0.905,0.208,0.987,0.996,0.33,1.428,0.996,1.45
5,477.8,0.667,1.188,0.89,0.554,15.523,0.979,0.451,15.489,0.815,0.451,15.479,0.813,0.587,12.628,0.847,0.381,0.99,0.997,0.381,1.469,0.997,1.48
6,481.3,0.697,1.242,0.963,0.586,15.77,0.979,0.574,15.516,0.974,0.57,15.499,0.973,0.685,12.453,0.951,0.436,0.987,0.996,0.53,1.538,0.996,1.56
7,481.4,0.612,1.153,0.954,0.568,14.582,0.979,0.645,14.061,0.948,0.645,14.059,0.947,0.616,11.515,0.92,0.097,0.985,0.994,0.097,1.354,0.994,1.37
8,474.7,0.683,1.277,0.916,0.073,16.788,0.979,0.665,17.164,0.817,0.654,17.15,0.817,0.625,13.643,0.899,0.456,0.99,0.993,0.457,1.51,0.993,1.53
9,483.1,0.723,1.309,0.945,0.533,15.524,0.979,0.645,15.343,0.949,0.645,15.299,0.949,0.631,12.562,0.933,0.198,0.99,0.997,0.278,1.575,0.997,1.59
