seed,arm,target_rule,target,nv,is_default
0,A_structured,q0.5,355.6,-0.86,False
0,A_structured,q0.75,528.9,0.055,False
0,A_structured,q0.9,658.3,0.572,False
0,A_structured,q0.95,739.2,0.609,True
0,A_structured,q0.99,908.4,0.513,False
0,A_structured,q1.0,959.1,0.513,False
0,A_structured,max x1.25,1198.9,-0.075,False
0,A_structured,max x1.5,1438.7,-0.561,False
0,A_structured,max x2.0,1918.2,-0.623,False
0,QDT_td,q0.5,5228.1,-0.232,False
0,QDT_td,q0.75,6084.5,0.636,False
0,QDT_td,q0.9,6416.0,0.641,False
0,QDT_td,q0.95,6652.5,0.662,True
0,QDT_td,q0.99,6956.3,0.664,False
0,QDT_td,q1.0,7240.3,0.652,False
0,QDT_td,max x1.25,9050.3,0.513,False
0,QDT_td,max x1.5,10860.4,0.513,False
0,QDT_td,max x2.0,14480.5,0.358,False
0,oracle_Qstar,q0.5,273.8,-0.86,False
0,oracle_Qstar,q0.75,364.9,-0.391,False
0,oracle_Qstar,q0.9,448.4,0.193,False
0,oracle_Qstar,q0.95,505.4,0.594,True
0,oracle_Qstar,q0.99,564.2,0.648,False
0,oracle_Qstar,q1.0,574.8,0.638,False
0,oracle_Qstar,max x1.25,718.5,0.644,False
0,oracle_Qstar,max x1.5,862.2,0.607,False
0,oracle_Qstar,max x2.0,1149.7,0.473,False
0,vanilla,q0.5,278.6,-0.431,False
0,vanilla,q0.75,402.0,0.167,False
0,vanilla,q0.9,499.5,0.634,False
0,vanilla,q0.95,562.1,0.619,True
0,vanilla,q0.99,673.5,0.641,False
0,vanilla,q1.0,849.7,0.669,False
0,vanilla,max x1.25,1062.2,0.652,False
0,vanilla,max x1.5,1274.6,0.638,False
0,vanilla,max x2.0,1699.5,0.604,False
1,A_structured,q0.5,320.5,-0.723,False
1,A_structured,q0.75,470.0,-0.067,False
1,A_structured,q0.9,585.3,0.366,False
1,A_structured,q0.95,668.6,0.599,True
1,A_structured,q0.99,845.3,0.484,False
1,A_structured,q1.0,888.8,0.153,False
1,A_structured,max x1.25,1110.9,-0.121,False
1,A_structured,max x1.5,1333.1,-0.305,False
1,A_structured,max x2.0,1777.5,-0.399,False
1,QDT_td,q0.5,9256.4,0.21,False
1,QDT_td,q0.75,10403.7,0.563,False
1,QDT_td,q0.9,11068.4,0.687,False
1,QDT_td,q0.95,11393.9,0.671,True
1,QDT_td,q0.99,12046.6,0.65,False
1,QDT_td,q1.0,12089.0,0.65,False
1,QDT_td,max x1.25,15111.2,0.265,False
1,QDT_td,max x1.5,18133.5,-0.744,False
1,QDT_td,max x2.0,24178.0,-0.515,False
1,oracle_Qstar,q0.5,262.8,-0.559,False
1,oracle_Qstar,q0.75,371.9,-0.079,False
1,oracle_Qstar,q0.9,445.4,0.375,False
1,oracle_Qstar,q0.95,476.1,0.387,True
1,oracle_Qstar,q0.99,564.2,0.433,False
1,oracle_Qstar,q1.0,574.8,0.451,False
1,oracle_Qstar,max x1.25,718.5,0.495,False
1,oracle_Qstar,max x1.5,862.2,0.532,False
1,oracle_Qstar,max x2.0,1149.7,0.619,False
1,vanilla,q0.5,263.8,-0.027,False
1,vanilla,q0.75,389.2,0.262,False
1,vanilla,q0.9,504.4,0.395,False
1,vanilla,q0.95,585.3,0.453,True
1,vanilla,q0.99,714.0,0.473,False
1,vanilla,q1.0,1026.0,0.661,False
1,vanilla,max x1.25,1282.5,0.7,False
1,vanilla,max x1.5,1539.0,0.687,False
1,vanilla,max x2.0,2052.0,0.672,False
2,A_structured,q0.5,353.2,-0.518,False
2,A_structured,q0.75,511.3,-0.067,False
2,A_structured,q0.9,643.7,0.382,False
2,A_structured,q0.95,718.5,0.675,True
2,A_structured,q0.99,912.9,0.619,False
2,A_structured,q1.0,967.7,0.449,False
2,A_structured,max x1.25,1209.7,0.39,False
2,A_structured,max x1.5,1451.6,0.144,False
2,A_structured,max x2.0,1935.5,0.153,False
2,QDT_td,q0.5,6231.9,-0.243,False
2,QDT_td,q0.75,7266.6,0.408,False
2,QDT_td,q0.9,7714.9,0.383,False
2,QDT_td,q0.95,8077.8,0.407,True
2,QDT_td,q0.99,8463.6,0.407,False
2,QDT_td,q1.0,8917.3,0.414,False
2,QDT_td,max x1.25,11146.6,0.637,False
2,QDT_td,max x1.5,13375.9,0.669,False
2,QDT_td,max x2.0,17834.6,0.639,False
2,oracle_Qstar,q0.5,262.8,-0.451,False
2,oracle_Qstar,q0.75,371.9,0.084,False
2,oracle_Qstar,q0.9,449.2,0.367,False
2,oracle_Qstar,q0.95,500.6,0.403,True
2,oracle_Qstar,q0.99,564.2,0.424,False
2,oracle_Qstar,q1.0,574.8,0.424,False
2,oracle_Qstar,max x1.25,718.5,0.422,False
2,oracle_Qstar,max x1.5,862.2,0.413,False
2,oracle_Qstar,max x2.0,1149.7,0.392,False
