seed,arm,nv,k,ratio,src,keep
0,real_BC,0.427,,,,
0,real_DT,0.619,,,,
0,dyna_bc_k1,0.481,1.0,0.5,bc,
0,dyna_bc_k2,0.331,2.0,0.5,bc,
0,dyna_bc_k4,0.464,4.0,0.5,bc,
0,dyna_bc_k8,0.567,8.0,0.5,bc,
0,dyna_bc_r0.25,0.592,2.0,0.25,bc,
0,dyna_bc_r0.5,0.301,2.0,0.5,bc,
0,dyna_bc_r0.75,0.311,2.0,0.75,bc,
0,dyna_greedy_k1,0.606,1.0,0.5,greedy,
0,dyna_greedy_k2,0.421,2.0,0.5,greedy,
0,dyna_greedy_k4,-2.14,4.0,0.5,greedy,
0,dyna_greedy_k8,-4.095,8.0,0.5,greedy,
0,dyna_greedy_r0.25,0.606,2.0,0.25,greedy,
0,dyna_greedy_r0.5,0.23,2.0,0.5,greedy,
0,dyna_greedy_r0.75,-0.148,2.0,0.75,greedy,
0,filtBC_keep0.25,0.673,,,,0.25
0,filtBC_keep0.5,0.825,,,,0.5
1,real_BC,0.398,,,,
1,real_DT,0.453,,,,
1,dyna_bc_k1,0.341,1.0,0.5,bc,
1,dyna_bc_k2,0.384,2.0,0.5,bc,
1,dyna_bc_k4,0.371,4.0,0.5,bc,
1,dyna_bc_k8,0.342,8.0,0.5,bc,
1,dyna_bc_r0.25,0.395,2.0,0.25,bc,
1,dyna_bc_r0.5,0.421,2.0,0.5,bc,
1,dyna_bc_r0.75,0.204,2.0,0.75,bc,
1,dyna_greedy_k1,0.31,1.0,0.5,greedy,
1,dyna_greedy_k2,-0.209,2.0,0.5,greedy,
1,dyna_greedy_k4,0.239,4.0,0.5,greedy,
1,dyna_greedy_k8,-2.99,8.0,0.5,greedy,
1,dyna_greedy_r0.25,0.307,2.0,0.25,greedy,
1,dyna_greedy_r0.5,0.308,2.0,0.5,greedy,
1,dyna_greedy_r0.75,0.32,2.0,0.75,greedy,
1,filtBC_keep0.25,0.766,,,,0.25
1,filtBC_keep0.5,0.722,,,,0.5
2,real_BC,0.45,,,,
2,real_DT,0.395,,,,
2,dyna_bc_k1,0.335,1.0,0.5,bc,
2,dyna_bc_k2,0.43,2.0,0.5,bc,
2,dyna_bc_k4,0.553,4.0,0.5,bc,
2,dyna_bc_k8,0.349,8.0,0.5,bc,
2,dyna_bc_r0.25,0.158,2.0,0.25,bc,
2,dyna_bc_r0.5,0.316,2.0,0.5,bc,
2,dyna_bc_r0.75,0.546,2.0,0.75,bc,
2,dyna_greedy_k1,0.379,1.0,0.5,greedy,
2,dyna_greedy_k2,0.395,2.0,0.5,greedy,
2,dyna_greedy_k4,-2.557,4.0,0.5,greedy,
2,dyna_greedy_k8,-4.234,8.0,0.5,greedy,
2,dyna_greedy_r0.25,0.424,2.0,0.25,greedy,
2,dyna_greedy_r0.5,0.405,2.0,0.5,greedy,
2,dyna_greedy_r0.75,-1.178,2.0,0.75,greedy,
2,filtBC_keep0.25,0.542,,,,0.25
2,filtBC_keep0.5,0.725,,,,0.5
3,real_BC,0.382,,,,
3,real_DT,0.417,,,,
3,dyna_bc_k1,0.315,1.0,0.5,bc,
3,dyna_bc_k2,0.306,2.0,0.5,bc,
3,dyna_bc_k4,0.306,4.0,0.5,bc,
3,dyna_bc_k8,0.417,8.0,0.5,bc,
3,dyna_bc_r0.25,0.38,2.0,0.25,bc,
3,dyna_bc_r0.5,0.263,2.0,0.5,bc,
