seed,A_structured,B_calibrated,B_smoothByStart,B_lowvar,tgt_std_A,tgt_std_B,qsurf_resid_A,qsurf_resid_B,qsurf_disp_A,qsurf_disp_B
0,0.609,0.598,0.601,0.644,220.1,135.9,86.59,7.45,102.7,14.15
1,0.599,0.378,0.387,0.433,198.3,125.3,76.93,8.52,91.59,16.41
2,0.675,0.403,0.403,0.403,217.6,134.0,93.31,6.73,110.57,13.66
3,0.797,0.429,0.43,0.429,217.7,137.0,83.48,10.66,99.28,18.4
4,0.636,0.234,0.302,0.322,202.8,137.1,68.1,8.73,81.54,16.44
5,0.667,0.428,0.403,0.428,215.2,129.2,100.4,10.22,118.91,18.31
6,0.697,0.07,0.454,0.494,214.8,128.7,89.24,10.4,105.66,18.89
7,0.612,0.097,0.047,0.097,194.6,139.4,72.85,8.95,86.34,15.83
8,0.683,0.222,0.456,0.457,204.2,127.8,75.73,6.75,90.68,14.76
9,0.723,0.281,0.249,0.309,224.3,136.8,93.07,10.58,110.7,18.92
