noise,seed,v_behaviour,v_optimal,v_BC,v_vanillaDT,stitch_avg_margin_vanillaDT,stitch_beat_fraction_vanillaDT,vanilla_stitches
0.05,0,426.42,479.21,440.99,444.68,-20.25,0.333,False
0.05,1,422.24,479.07,447.38,442.52,-20.7,0.19,False
0.05,2,423.77,474.56,432.88,448.82,-13.83,0.333,False
0.05,3,422.37,479.39,434.59,448.03,-18.28,0.381,False
0.05,4,425.0,483.25,445.0,451.67,-18.2,0.333,False
0.05,5,420.22,478.54,439.61,448.35,-16.59,0.429,False
0.05,6,426.77,478.39,460.16,444.28,-21.8,0.381,False
0.05,7,425.81,476.33,430.82,442.2,-22.55,0.333,False
0.05,8,417.91,479.95,448.22,447.32,-20.2,0.429,False
0.05,9,426.93,479.21,442.47,452.17,-14.78,0.381,False
0.5,0,426.42,479.21,440.99,455.05,-12.34,0.0,False
0.5,1,422.24,479.07,447.38,451.65,-14.5,0.0,False
0.5,2,423.77,474.56,432.88,442.81,-18.89,0.048,False
0.5,3,422.37,479.39,434.59,458.57,-10.66,0.095,False
0.5,4,425.0,483.25,445.0,448.64,-23.51,0.0,False
0.5,5,420.22,478.54,439.61,458.04,-8.95,0.143,False
0.5,6,426.77,478.39,460.16,456.15,-10.64,0.095,False
0.5,7,425.81,476.33,430.82,448.31,-16.1,0.0,False
0.5,8,417.91,479.95,448.22,451.91,-16.39,0.0,False
0.5,9,426.93,479.21,442.47,452.31,-15.54,0.0,False
