drift,seed,logger_tv,v_true,true_uplift_over_beh,bias_pooled,bias_segmented,bias_pooled_strong,bias_segmented_strong,bias_pooled_estpi,bias_segmented_estpi,n_detected_segments
0.0,0,0.0,376.23,-50.2,68.97,68.97,77.57,77.57,108.46,108.46,1
0.0,1,0.0,347.22,-75.02,120.5,120.5,112.91,112.91,195.25,195.25,1
0.0,2,0.0,381.02,-42.75,65.43,65.43,67.04,67.04,72.86,72.86,1
0.0,3,0.0,320.72,-101.65,164.36,164.36,145.42,145.42,227.66,227.66,1
0.0,4,0.0,340.92,-84.08,133.35,133.35,118.97,118.97,210.92,210.92,1
0.0,5,0.0,364.64,-55.58,88.02,88.02,85.88,85.88,182.15,182.15,1
0.0,6,0.0,353.04,-73.74,89.16,89.16,97.62,97.62,139.47,139.47,1
0.0,7,0.0,343.92,-81.89,139.87,139.87,115.82,115.82,227.13,227.13,1
0.0,8,0.0,359.78,-58.13,82.77,82.77,90.91,90.91,137.7,137.7,1
0.0,9,0.0,358.26,-68.67,130.33,130.33,108.27,108.27,233.91,233.91,1
0.25,0,0.05,386.68,-39.75,63.56,63.56,68.51,68.51,103.53,103.53,1
0.25,1,0.05,374.69,-47.54,98.36,98.38,91.61,91.64,254.62,254.62,1
0.25,2,0.05,389.0,-34.77,65.09,64.65,60.48,60.43,131.07,146.42,2
0.25,3,0.05,321.39,-100.98,170.64,170.59,146.15,146.13,235.13,235.13,1
0.25,4,0.05,338.59,-86.41,147.38,147.49,125.42,125.51,218.65,218.65,1
0.25,5,0.05,358.49,-61.73,89.34,88.85,91.69,91.61,142.14,142.14,1
0.25,6,0.05,356.47,-70.3,77.96,77.98,92.79,92.79,120.34,120.34,1
0.25,7,0.05,327.74,-98.07,146.6,147.05,130.84,130.92,234.45,234.45,1
0.25,8,0.05,382.32,-35.59,55.37,55.14,66.71,66.69,122.07,122.07,1
0.25,9,0.05,347.04,-79.89,138.23,138.77,119.62,119.78,240.71,240.71,1
0.5,0,0.125,380.14,-46.28,74.52,70.84,80.46,79.85,138.22,143.27,2
0.5,1,0.125,414.56,-7.68,37.66,25.77,45.33,43.54,190.88,228.24,2
0.5,2,0.125,416.49,-7.28,45.92,37.35,36.58,35.29,139.18,175.98,2
0.5,3,0.125,337.9,-84.47,140.33,127.27,127.59,124.89,199.94,203.86,2
0.5,4,0.125,345.25,-79.75,120.77,103.41,118.12,113.34,182.34,190.32,2
0.5,5,0.125,374.12,-46.1,55.01,49.7,77.79,77.49,122.97,131.06,2
0.5,6,0.125,370.51,-56.26,88.93,81.93,87.25,86.1,149.56,156.61,2
0.5,7,0.125,407.84,-17.97,77.41,65.66,45.29,44.1,372.09,405.61,2
0.5,8,0.125,412.48,-5.43,50.08,38.64,50.92,47.98,114.37,121.92,2
0.5,9,0.125,355.52,-71.41,135.35,129.13,115.81,114.64,276.13,301.51,2
0.75,0,0.232,386.87,-39.56,98.52,74.11,80.52,74.82,164.79,170.72,2
0.75,1,0.232,437.59,15.36,61.57,15.98,32.46,24.09,312.61,362.31,2
0.75,2,0.232,432.91,9.14,59.0,6.73,22.36,18.52,172.31,161.34,3
0.75,3,0.232,367.27,-55.11,137.91,96.67,101.34,91.88,227.06,228.04,2
0.75,4,0.232,384.54,-40.45,108.71,78.57,80.74,75.89,267.79,285.81,2
0.75,5,0.232,437.38,17.16,35.99,-13.28,14.61,11.68,179.2,172.0,2
0.75,6,0.232,381.46,-45.31,70.94,38.62,72.49,67.93,198.98,194.16,2
0.75,7,0.232,342.34,-83.47,184.83,129.04,128.14,117.43,236.66,242.27,2
0.75,8,0.232,405.29,-12.62,175.37,110.76,73.82,63.06,397.49,500.73,3
0.75,9,0.232,402.98,-23.95,34.43,2.53,50.39,45.47,171.53,179.61,2
