beta,seed,structured,QDT_fixed,QDT_broken
0.95,0,0.766,0.755,0.558
0.95,1,0.662,0.778,0.449
0.95,2,0.753,0.753,0.789
0.95,3,0.707,0.686,0.583
0.95,4,0.766,0.785,0.582
0.95,5,0.715,0.765,0.771
0.95,6,0.678,0.732,0.698
0.95,7,0.838,0.756,0.57
0.95,8,0.541,0.799,0.699
0.95,9,0.609,0.61,0.401
1.37,0,0.635,0.704,0.589
1.37,1,0.44,0.566,0.483
1.37,2,0.649,0.642,0.532
1.37,3,0.427,0.705,0.587
1.37,4,0.441,0.499,0.387
1.37,5,0.667,0.89,0.621
1.37,6,0.516,0.569,0.65
1.37,7,0.53,0.695,0.631
1.37,8,0.401,0.59,0.438
1.37,9,0.579,0.524,0.552
1.83,0,0.593,0.637,0.529
1.83,1,0.639,0.66,0.509
1.83,2,0.553,0.499,0.418
1.83,3,0.617,0.595,0.52
1.83,4,0.558,0.65,0.525
1.83,5,0.665,0.738,0.543
1.83,6,0.619,0.723,0.35
1.83,7,0.646,0.716,0.548
1.83,8,0.463,0.61,0.5
1.83,9,0.767,0.736,0.55
2.0,0,0.516,0.666,0.536
2.0,1,0.73,0.655,0.498
2.0,2,0.671,0.655,0.393
2.0,3,0.755,0.59,0.573
2.0,4,0.653,0.681,0.554
2.0,5,0.784,0.655,0.542
2.0,6,0.584,0.717,0.5
2.0,7,0.639,0.699,0.599
2.0,8,0.693,0.673,0.498
2.0,9,0.783,0.656,0.517
