seed,v_beh,v_opt,vanilla,structured,empirical,oracle,QDT,BC
0,66.4,80.9,0.511,0.445,0.238,0.424,0.542,0.438
1,73.8,80.9,0.182,-0.291,-0.759,-0.224,0.163,0.132
2,71.2,80.9,0.067,0.167,0.013,0.224,0.21,0.195
3,65.8,80.9,0.54,0.554,0.361,0.585,0.606,0.548
4,72.1,80.9,0.175,-0.048,-0.267,-0.006,0.269,0.17
5,64.4,80.9,0.631,0.515,0.424,0.585,0.649,0.576
6,72.2,80.9,0.218,-0.184,-0.368,-0.075,0.18,0.202
7,73.1,80.9,0.086,0.015,-0.194,0.119,0.411,0.095
8,70.3,80.9,0.264,-0.026,-0.311,0.013,0.349,0.326
9,67.4,80.9,0.44,0.544,0.42,0.557,0.438,0.392
