seed,v_beh,v_opt,censor_rate,true_mean,true_var,fit_mean_poisson,fit_var_poisson,EtO_poisson_true,EtO_poisson_inmodel,EtO_poisson_gap,EtO_poisson_nv,fit_mean_empirical,fit_var_empirical,EtO_empirical_true,EtO_empirical_inmodel,EtO_empirical_gap,EtO_empirical_nv
0,71.5,80.9,0.122,6.0,22.0,4.69,4.69,38.2,96.2,58.0,-3.541,4.69,8.16,61.8,82.7,20.9,-1.029
1,72.9,80.9,0.138,6.0,22.0,4.47,4.47,24.2,91.6,67.3,-6.061,4.47,7.51,54.0,77.7,23.7,-2.353
2,72.8,80.9,0.146,6.0,22.0,4.64,4.64,36.3,95.0,58.7,-4.493,4.64,7.89,56.7,81.8,25.1,-1.983
3,66.8,80.9,0.124,6.0,22.0,4.64,4.64,36.3,94.9,58.6,-2.15,4.64,8.3,56.7,80.3,23.6,-0.711
4,68.3,80.9,0.151,6.0,22.0,4.7,4.7,38.2,96.3,58.1,-2.386,4.7,8.03,56.7,82.6,25.9,-0.919
5,68.5,80.9,0.116,6.0,22.0,4.46,4.46,24.2,91.4,67.2,-3.559,4.46,7.65,55.8,77.3,21.5,-1.02
6,70.4,80.9,0.115,6.0,22.0,4.62,4.62,35.0,94.6,59.5,-3.363,4.62,7.88,55.8,80.8,24.9,-1.388
7,70.2,80.9,0.14,6.0,22.0,4.65,4.65,36.3,95.1,58.8,-3.157,4.65,8.02,56.7,81.5,24.8,-1.257
8,59.8,80.9,0.114,6.0,22.0,4.72,4.72,38.2,96.9,58.7,-1.022,4.72,7.71,56.7,84.8,28.1,-0.146
9,69.5,80.9,0.106,6.0,22.0,4.69,4.69,38.2,96.2,58.0,-2.732,4.69,7.76,56.7,83.0,26.4,-1.115
