seed,model,m,nv
0,structured,1,0.445
0,oracle,1,0.445
0,structured,2,0.232
0,oracle,2,0.589
0,structured,3,0.027
0,oracle,3,0.694
0,structured,5,-0.457
0,oracle,5,0.832
0,structured,8,-1.932
0,oracle,8,0.897
0,structured,11,-1.998
0,oracle,11,0.918
1,structured,1,-0.291
1,oracle,1,-0.291
1,structured,2,-0.625
1,oracle,2,0.109
1,structured,3,-1.243
1,oracle,3,0.343
1,structured,5,-3.245
1,oracle,5,0.74
1,structured,8,-6.129
1,oracle,8,1.03
1,structured,11,-6.935
1,oracle,11,1.091
2,structured,1,0.167
2,oracle,1,0.167
2,structured,2,-0.03
2,oracle,2,0.447
2,structured,3,-0.341
2,oracle,3,0.583
2,structured,5,-1.989
2,oracle,5,0.758
2,structured,8,-3.259
2,oracle,8,0.882
2,structured,11,-3.674
2,oracle,11,0.948
3,structured,1,0.554
3,oracle,1,0.554
3,structured,2,0.413
3,oracle,2,0.709
3,structured,3,0.227
3,oracle,3,0.786
3,structured,5,-0.738
3,oracle,5,0.9
3,structured,8,-2.069
3,oracle,8,0.967
3,structured,11,-1.984
3,oracle,11,0.993
4,structured,1,-0.048
4,oracle,1,-0.048
4,structured,2,-0.281
4,oracle,2,0.257
4,structured,3,-0.618
4,oracle,3,0.435
4,structured,5,-1.882
4,oracle,5,0.676
4,structured,8,-4.217
4,oracle,8,0.835
4,structured,11,-4.207
4,oracle,11,0.909
5,structured,1,0.515
5,oracle,1,0.515
5,structured,2,0.33
5,oracle,2,0.667
5,structured,3,-0.03
5,oracle,3,0.764
5,structured,5,-0.721
5,oracle,5,0.894
5,structured,8,-1.729
5,oracle,8,0.958
5,structured,11,-1.715
5,oracle,11,0.981
6,structured,1,-0.184
6,oracle,1,-0.184
6,structured,2,-0.496
6,oracle,2,0.128
6,structured,3,-0.786
6,oracle,3,0.361
6,structured,5,-2.683
6,oracle,5,0.704
6,structured,8,-4.338
6,oracle,8,0.888
6,structured,11,-4.143
6,oracle,11,0.941
7,structured,1,0.015
7,oracle,1,0.015
7,structured,2,-0.321
7,oracle,2,0.378
7,structured,3,-0.705
7,oracle,3,0.594
7,structured,5,-3.102
7,oracle,5,0.844
7,structured,8,-5.151
7,oracle,8,1.036
7,structured,11,-5.13
7,oracle,11,1.079
8,structured,1,-0.026
8,oracle,1,-0.026
8,structured,2,-0.066
8,oracle,2,0.312
8,structured,3,-0.441
8,oracle,3,0.518
8,structured,5,-1.344
8,oracle,5,0.754
8,structured,8,-3.819
8,oracle,8,0.922
8,structured,11,-4.323
8,oracle,11,0.967
9,structured,1,0.544
9,oracle,1,0.544
9,structured,2,0.313
9,oracle,2,0.694
9,structured,3,0.028
9,oracle,3,0.765
9,structured,5,-0.603
9,oracle,5,0.854
9,structured,8,-2.023
9,oracle,8,0.895
9,structured,11,-2.351
9,oracle,11,0.897
