seed,v_opt,EtO_structured,inmodel_structured,truegap_structured,EtO_unconstrained,inmodel_unconstrained,truegap_unconstrained
0,482.1,-4.614,1857.7,1687.9,0.462,522.2,70.1
1,478.3,-4.581,1652.2,1486.8,0.18,511.9,79.6
2,479.2,-4.692,1951.6,1787.9,0.468,502.0,52.3
3,479.2,-4.475,1818.6,1650.3,-0.158,556.3,142.9
4,480.6,-4.436,1533.8,1355.5,0.394,521.8,74.9
5,477.8,-4.455,2066.8,1902.9,0.036,545.8,123.5
6,481.3,-4.783,1926.0,1760.3,-0.087,550.3,128.2
7,481.4,-4.463,1556.6,1378.9,0.355,522.1,76.6
8,474.7,-4.366,1651.7,1481.9,0.515,498.1,50.9
9,483.1,-4.566,1988.2,1817.9,-0.232,567.1,153.2
