seed,arm,nv_heldout,nv_default,nv_testbest,chosen,testbest,transfer_loss
0,A_structured,0.516,0.607,0.619,q0.975,q0.9,0.103
0,B_unconstrained,0.617,0.663,0.68,max x1.25,q0.99,0.063
0,QDT_td,0.666,0.673,0.673,q0.99,q0.95,0.007
0,QDT_qsa,0.528,0.582,0.723,q0.99,q0.75,0.195
0,oracle_Qstar,0.635,0.663,0.69,max x1.25,q0.975,0.055
0,vanilla,0.673,0.655,0.704,q1.0,q0.9,0.031
0,potential_exact,0.635,0.663,0.707,max x1.25,q0.975,0.072
0,action_deleted,0.653,0.711,0.723,q0.975,q0.925,0.07
0,filtBC_keep0.5,0.799,0.799,0.799,(no ask),(no ask),0.0
1,A_structured,0.73,0.585,0.73,q0.975,q0.975,0.0
1,B_unconstrained,0.674,0.331,0.674,max x1.25,max x1.25,0.0
1,QDT_td,0.655,0.676,0.695,q0.975,q0.9,0.041
1,QDT_qsa,0.725,0.667,0.725,q0.9,q0.9,0.0
1,oracle_Qstar,0.526,0.371,0.614,max x1.5,max x2.0,0.088
1,vanilla,0.699,0.422,0.699,max x1.25,max x1.25,0.0
1,potential_exact,0.668,0.371,0.668,max x2.0,max x2.0,0.0
1,action_deleted,0.782,0.623,0.782,q0.975,q0.975,0.0
1,filtBC_keep0.5,0.706,0.706,0.706,(no ask),(no ask),0.0
2,A_structured,0.671,0.671,0.671,q0.95,q0.95,0.0
2,B_unconstrained,0.426,0.412,0.428,max x1.25,q0.99,0.002
2,QDT_td,0.655,0.395,0.655,max x1.5,max x1.5,0.0
2,QDT_qsa,0.6,0.6,0.619,q0.95,q0.925,0.019
2,oracle_Qstar,0.415,0.412,0.428,max x1.25,q0.99,0.012
2,vanilla,0.415,0.394,0.415,q1.0,q1.0,0.0
2,potential_exact,0.417,0.412,0.428,max x1.25,q0.99,0.011
2,action_deleted,0.827,0.67,0.827,q0.99,q0.99,0.0
2,filtBC_keep0.5,0.734,0.734,0.734,(no ask),(no ask),0.0
3,A_structured,0.755,0.755,0.755,q0.95,q0.95,0.0
3,B_unconstrained,0.368,0.368,0.368,q0.95,q0.95,0.0
3,QDT_td,0.59,0.339,0.59,max x1.25,max x1.25,0.0
3,QDT_qsa,0.542,0.439,0.542,q1.0,q1.0,0.0
3,oracle_Qstar,0.363,0.363,0.368,q0.95,q0.975,0.005
3,vanilla,0.363,0.363,0.368,q0.975,q0.99,0.005
3,potential_exact,0.363,0.363,0.368,q0.95,q0.975,0.005
3,action_deleted,0.8,0.743,0.8,q0.975,q0.975,0.0
3,filtBC_keep0.5,0.681,0.681,0.681,(no ask),(no ask),0.0
4,A_structured,0.653,0.653,0.677,q0.95,q0.975,0.025
4,B_unconstrained,0.505,0.268,0.505,max x1.25,max x1.25,0.0
4,QDT_td,0.681,0.743,0.743,q0.975,q0.95,0.062
4,QDT_qsa,0.696,0.611,0.696,q0.975,q0.975,0.0
4,oracle_Qstar,0.703,0.239,0.703,max x1.25,max x1.25,0.0
4,vanilla,0.613,0.499,0.632,q0.99,max x1.5,0.019
4,potential_exact,0.625,0.245,0.625,max x1.25,max x1.25,0.0
4,action_deleted,0.762,0.711,0.762,q0.99,q0.99,0.0
4,filtBC_keep0.5,0.65,0.65,0.65,(no ask),(no ask),0.0
5,A_structured,0.784,0.628,0.784,q0.99,q0.99,0.0
5,B_unconstrained,0.565,0.443,0.59,q1.0,q0.99,0.026
5,QDT_td,0.655,0.464,0.704,q0.975,q1.0,0.049
5,QDT_qsa,0.605,0.605,0.612,q0.975,q0.99,0.007
