seed,arm,chosen,testbest,matched
0,A_structured,q0.975,q0.9,False
0,B_unconstrained,max x1.25,q0.99,False
0,QDT_td,q0.99,q0.95,False
0,QDT_qsa,q0.99,q0.75,False
0,oracle_Qstar,max x1.25,q0.975,False
0,vanilla,q1.0,q0.9,False
0,potential_exact,max x1.25,q0.975,False
0,action_deleted,q0.975,q0.925,False
1,A_structured,q0.975,q0.975,True
1,B_unconstrained,max x1.25,max x1.25,True
1,QDT_td,q0.975,q0.9,False
1,QDT_qsa,q0.9,q0.9,True
1,oracle_Qstar,max x1.5,max x2.0,False
1,vanilla,max x1.25,max x1.25,True
1,potential_exact,max x2.0,max x2.0,True
1,action_deleted,q0.975,q0.975,True
2,A_structured,q0.95,q0.95,True
2,B_unconstrained,max x1.25,q0.99,False
2,QDT_td,max x1.5,max x1.5,True
2,QDT_qsa,q0.95,q0.925,False
2,oracle_Qstar,max x1.25,q0.99,False
2,vanilla,q1.0,q1.0,True
2,potential_exact,max x1.25,q0.99,False
2,action_deleted,q0.99,q0.99,True
3,A_structured,q0.95,q0.95,True
3,B_unconstrained,q0.95,q0.95,True
3,QDT_td,max x1.25,max x1.25,True
3,QDT_qsa,q1.0,q1.0,True
3,oracle_Qstar,q0.95,q0.975,False
3,vanilla,q0.975,q0.99,False
3,potential_exact,q0.95,q0.975,False
3,action_deleted,q0.975,q0.975,True
4,A_structured,q0.95,q0.975,False
4,B_unconstrained,max x1.25,max x1.25,True
4,QDT_td,q0.975,q0.95,False
4,QDT_qsa,q0.975,q0.975,True
4,oracle_Qstar,max x1.25,max x1.25,True
4,vanilla,q0.99,max x1.5,False
4,potential_exact,max x1.25,max x1.25,True
4,action_deleted,q0.99,q0.99,True
5,A_structured,q0.99,q0.99,True
5,B_unconstrained,q1.0,q0.99,False
5,QDT_td,q0.975,q1.0,False
5,QDT_qsa,q0.975,q0.99,False
5,oracle_Qstar,max x2.0,max x2.0,True
5,vanilla,max x2.0,max x2.0,True
5,potential_exact,max x1.25,max x2.0,False
5,action_deleted,q0.95,q0.9,False
6,A_structured,q0.925,q0.95,False
6,B_unconstrained,q1.0,max x2.0,False
6,QDT_td,q1.0,q1.0,True
6,QDT_qsa,q0.9,q0.95,False
6,oracle_Qstar,q0.975,max x2.0,False
6,vanilla,q0.975,q0.975,True
6,potential_exact,q0.975,max x2.0,False
6,action_deleted,q0.95,q0.95,True
7,A_structured,q0.975,q0.95,False
7,B_unconstrained,max x1.25,max x1.25,True
7,QDT_td,q1.0,q1.0,True
7,QDT_qsa,q0.925,q0.95,False
7,oracle_Qstar,max x1.25,max x1.25,True
7,vanilla,max x2.0,max x2.0,True
7,potential_exact,max x1.25,max x1.25,True
7,action_deleted,q0.99,q0.99,True
8,A_structured,q0.95,q0.975,False
8,B_unconstrained,q0.975,q0.99,False
8,QDT_td,q0.95,q0.925,False
8,QDT_qsa,q0.85,q0.85,True
8,oracle_Qstar,q1.0,q0.99,False
8,vanilla,q1.0,q0.99,False
8,potential_exact,q0.99,q0.975,False
8,action_deleted,q0.99,q0.975,False
9,A_structured,q0.975,q0.975,True
9,B_unconstrained,q1.0,max x1.25,False
9,QDT_td,q0.99,q1.0,False
9,QDT_qsa,q0.95,q1.0,False
9,oracle_Qstar,max x1.25,max x1.25,True
9,vanilla,q0.975,q0.99,False
9,potential_exact,max x1.25,q1.0,False
9,action_deleted,q0.95,q0.9,False
