severity,seed,prior_monotone,prior_degenerate_after_clamp,nv_structured,nv_QDT_floor,advantage_over_QDT
0.0,0,True,False,0.609,0.588,0.021
0.0,1,True,False,0.599,0.127,0.472
0.0,2,True,False,0.675,0.314,0.361
0.0,3,True,False,0.797,0.504,0.293
0.0,4,True,False,0.636,0.538,0.098
0.0,5,True,False,0.667,0.554,0.113
0.0,6,True,False,0.697,0.586,0.111
0.0,7,True,False,0.612,0.568,0.045
0.0,8,True,False,0.683,0.073,0.609
0.0,9,True,False,0.723,0.533,0.19
0.5,0,True,False,0.554,0.588,-0.034
0.5,1,True,False,0.61,0.127,0.484
0.5,2,True,False,0.623,0.314,0.309
0.5,3,True,False,0.715,0.504,0.211
0.5,4,True,False,0.633,0.538,0.095
0.5,5,True,False,0.581,0.554,0.027
0.5,6,True,False,0.685,0.586,0.1
0.5,7,True,False,0.562,0.568,-0.005
0.5,8,True,False,0.655,0.073,0.582
0.5,9,True,False,0.74,0.533,0.207
1.0,0,True,False,0.244,0.588,-0.344
1.0,1,True,False,0.5,0.127,0.373
1.0,2,True,False,0.409,0.314,0.095
1.0,3,True,False,0.43,0.504,-0.073
1.0,4,True,False,0.01,0.538,-0.528
1.0,5,True,False,0.218,0.554,-0.336
1.0,6,True,False,0.275,0.586,-0.311
1.0,7,True,False,0.155,0.568,-0.412
1.0,8,True,False,0.363,0.073,0.289
1.0,9,True,False,0.452,0.533,-0.081
2.0,0,False,False,0.6,0.588,0.013
2.0,1,False,False,0.387,0.127,0.261
2.0,2,False,False,0.395,0.314,0.081
2.0,3,False,False,0.362,0.504,-0.142
2.0,4,False,False,0.37,0.538,-0.168
2.0,5,False,False,0.491,0.554,-0.063
2.0,6,False,False,0.544,0.586,-0.041
2.0,7,False,False,0.097,0.568,-0.471
2.0,8,False,False,0.457,0.073,0.384
2.0,9,False,False,0.511,0.533,-0.022
4.0,0,False,True,0.491,0.588,-0.096
4.0,1,False,True,0.346,0.127,0.22
4.0,2,False,True,0.395,0.314,0.081
4.0,3,False,True,0.362,0.504,-0.142
4.0,4,False,True,0.367,0.538,-0.171
4.0,5,False,True,0.491,0.554,-0.063
4.0,6,False,True,0.522,0.586,-0.063
4.0,7,False,True,0.081,0.568,-0.487
4.0,8,False,True,0.491,0.073,0.418
4.0,9,False,True,0.557,0.533,0.024
