seed,lam,nv
0,0.0,0.619
0,0.25,0.635
0,0.5,0.646
0,0.75,0.668
0,1.0,0.609
1,0.0,0.453
1,0.25,0.461
1,0.5,0.534
1,0.75,0.598
1,1.0,0.599
2,0.0,0.395
2,0.25,0.416
2,0.5,0.407
2,0.75,0.468
2,1.0,0.675
3,0.0,0.417
3,0.25,0.417
3,0.5,0.417
3,0.75,0.428
3,1.0,0.797
4,0.0,0.475
4,0.25,0.403
4,0.5,0.492
4,0.75,0.534
4,1.0,0.636
5,0.0,0.414
5,0.25,0.425
5,0.5,0.595
5,0.75,0.629
5,1.0,0.667
6,0.0,0.552
6,0.25,0.526
6,0.5,0.643
6,0.75,0.715
6,1.0,0.697
7,0.0,0.091
7,0.25,0.351
7,0.5,0.463
7,0.75,0.519
7,1.0,0.612
8,0.0,0.457
8,0.25,0.522
8,0.5,0.54
8,0.75,0.655
8,1.0,0.683
9,0.0,0.54
9,0.25,0.597
9,0.5,0.565
9,0.75,0.618
9,1.0,0.723
