seed,v_opt,A_structured,B_calibrated,B_matchA,vanilla_matchA,D_QDT,tgtA,tgtB,scaleB,scaleV,shapecorr_A,shapecorr_B
0,482.1,0.609,0.604,0.649,0.619,0.588,739.2,469.7,1.57,1.32,0.945,0.989
1,478.3,0.599,0.499,0.491,0.453,0.127,668.6,460.0,1.45,1.14,0.884,0.993
2,479.2,0.675,0.403,0.403,0.395,0.314,718.5,463.9,1.55,1.27,0.895,0.992
3,479.2,0.797,0.429,0.429,0.417,0.504,749.1,475.3,1.58,1.24,0.903,0.973
4,480.6,0.636,0.16,0.322,0.509,0.538,686.9,463.3,1.48,1.2,0.921,0.992
5,477.8,0.667,0.415,0.415,0.414,0.554,701.2,454.6,1.54,1.13,0.89,0.987
6,481.3,0.697,0.133,0.496,0.552,0.586,739.5,477.5,1.55,1.31,0.963,0.986
7,481.4,0.612,0.149,0.149,0.091,0.568,656.2,488.9,1.34,1.2,0.954,0.982
8,474.7,0.683,0.211,0.457,0.457,0.073,715.0,448.1,1.6,1.32,0.916,0.987
9,483.1,0.723,0.262,0.256,0.573,0.533,757.4,453.8,1.67,1.27,0.945,0.994
