seed,A_structured,oracle_Qstar,potential_exact
10,0.3901,0.5788,0.652
11,0.6992,0.5742,0.5502
12,0.6938,0.6852,0.6473
13,0.4066,0.5354,0.5941
14,0.5175,0.4646,0.4471
15,0.7098,0.6207,0.6207
16,0.6526,0.389,0.389
17,0.7258,0.6663,0.6654
18,0.6824,0.6523,0.6436
19,0.2947,0.5008,0.4947
20,0.8203,0.7122,0.7111
21,0.6668,0.3307,0.277
22,0.6533,0.4213,0.4213
23,0.4212,0.7547,0.7064
24,0.5616,0.353,0.3582
25,0.7214,0.5824,0.5469
26,0.6362,0.3493,0.3331
27,0.5565,0.4601,0.5284
28,0.6032,0.6856,0.6238
29,0.6284,0.6162,0.6148
30,0.6002,0.1665,0.1785
31,0.7769,0.6703,0.6801
32,0.7746,0.6369,0.6666
33,0.3722,0.6614,0.6444
34,0.803,0.5207,0.1379
35,0.7447,0.5019,0.4244
36,0.0241,0.6943,0.7023
37,0.7314,0.7128,0.7061
38,0.6022,0.4986,0.4933
39,0.8115,0.5683,0.4557
40,0.669,0.5275,0.3864
41,0.6708,0.2096,0.2096
42,0.8085,0.6625,0.522
43,0.6551,0.3178,0.3927
44,0.551,0.4767,0.4838
45,0.0887,0.7181,0.6196
46,0.261,0.6034,0.4312
47,0.7263,0.5505,0.5581
48,0.765,0.6679,0.6639
49,0.6978,0.568,0.5832
50,0.6429,0.3665,0.3703
51,0.8013,0.6806,0.6802
52,0.6816,0.6062,0.6338
53,0.6432,0.6147,0.5047
54,0.7039,0.5562,0.4983
55,0.5026,0.6014,0.5747
56,0.5726,0.5771,0.4654
57,0.7178,0.4677,0.4237
58,0.6084,0.4245,0.4626
59,0.4909,0.3491,0.3896
60,0.8155,0.5672,0.5506
61,0.68,0.4998,0.4998
62,0.5408,0.5018,0.496
63,0.6828,0.479,0.6115
64,0.7132,0.4071,0.4095
65,0.7077,0.7103,0.687
66,0.5371,0.7292,0.7283
67,0.7098,0.5662,0.5798
68,0.6903,0.6823,0.655
69,0.6915,0.6301,0.6428
