K,seed,A_structured,A_structured_default,B_unconstrained,B_unconstrained_default,QDT_fixed,QDT_fixed_default,vanilla,vanilla_default
11,0,0.611,0.611,0.591,0.663,0.673,0.673,0.673,0.655
11,1,0.724,0.585,0.54,0.371,0.655,0.676,0.616,0.384
11,2,0.668,0.613,0.427,0.412,0.649,0.395,0.394,0.394
11,3,0.753,0.753,0.368,0.368,0.59,0.339,0.368,0.339
11,4,0.454,0.711,0.571,0.229,0.681,0.743,0.588,0.578
11,5,0.644,0.644,0.588,0.403,0.655,0.465,0.592,0.371
11,6,0.682,0.682,0.478,0.191,0.711,0.552,0.658,0.536
11,7,0.658,0.721,0.551,0.097,0.678,0.64,0.537,0.167
11,8,0.664,0.664,0.574,0.307,0.674,0.674,0.477,0.491
11,9,0.792,0.717,0.569,0.269,0.663,0.663,0.742,0.553
5,0,0.164,0.283,0.478,0.283,0.625,0.201,0.41,0.41
5,1,-0.077,0.188,0.182,-0.24,0.232,0.146,0.362,0.362
5,2,0.317,0.134,0.319,0.025,0.394,0.235,0.415,0.255
5,3,0.018,0.028,0.207,0.207,0.376,0.15,0.306,0.32
5,4,-0.008,-0.008,0.39,-0.62,0.476,0.155,0.297,0.372
5,5,0.098,0.098,0.283,0.085,0.399,0.42,0.293,0.073
5,6,0.222,-0.231,0.096,-0.229,0.504,0.378,0.297,0.045
5,7,0.248,0.25,0.119,-0.28,0.537,0.58,0.494,0.429
5,8,0.227,-0.192,0.375,0.375,0.424,0.424,0.345,0.345
5,9,0.551,0.355,0.489,0.175,0.604,0.586,0.555,0.399
3,0,-0.178,-0.929,-0.129,-0.825,0.159,0.14,-0.066,0.097
3,1,-0.042,-0.642,-0.164,-0.41,0.033,-0.014,0.007,-0.14
3,2,-0.218,-0.247,-0.34,-0.34,0.021,-0.046,-0.113,-0.147
3,3,-0.338,-0.827,-0.41,-0.827,0.059,-0.083,-0.064,-0.095
3,4,-0.251,-1.116,-1.026,-1.148,0.098,0.098,-0.092,-0.157
3,5,-0.216,-0.994,-0.188,-0.546,-0.024,-0.082,-0.066,-0.212
3,6,-0.214,-0.47,-1.104,-1.27,0.024,-0.021,-0.12,-0.24
3,7,-0.429,-1.095,-0.618,-0.942,0.056,0.081,0.046,-0.277
3,8,-0.197,-1.248,-0.224,-1.265,0.087,0.061,-0.273,-0.308
3,9,-0.222,-0.8,-0.207,-0.59,-0.049,0.062,-0.066,-0.113
2,0,-1.691,-1.691,-1.691,-1.691,-1.691,-2.663,-1.691,-1.691
2,1,-1.913,-1.943,-1.913,-1.913,-1.913,-3.412,-1.913,-1.913
2,2,-1.826,-1.826,-1.826,-1.826,-1.826,-3.029,-1.875,-1.826
2,3,-2.334,-2.334,-2.084,-2.334,-2.084,-3.047,-2.334,-2.334
2,4,-1.95,-1.95,-1.95,-1.95,-1.95,-3.184,-1.95,-1.95
2,5,-1.93,-1.898,-1.898,-1.898,-1.898,-2.692,-1.898,-1.898
2,6,-2.014,-2.014,-2.014,-2.014,-2.014,-3.251,-2.014,-2.014
2,7,-1.721,-1.721,-1.721,-1.721,-1.721,-2.729,-1.721,-1.721
2,8,-1.864,-1.864,-1.864,-1.864,-1.864,-2.984,-1.864,-1.864
2,9,-1.862,-1.862,-1.862,-1.939,-1.862,-2.904,-1.862,-1.862
