seed,action,potential,nv,rtg_mean,rtg_std,eval_target
0,model,model,0.609,368.5,220.1,739.2
0,model,oracle,0.594,261.7,141.2,497.2
0,model,mean,0.331,368.5,27.7,417.6
0,model,shuffle,0.343,368.5,224.1,770.2
0,oracle,model,0.574,369.4,220.7,750.3
0,oracle,oracle,0.594,262.6,141.5,505.4
0,oracle,mean,0.043,369.4,25.3,400.5
0,oracle,shuffle,0.389,369.4,222.6,758.1
0,mean,model,0.666,368.5,222.0,763.8
0,mean,oracle,0.566,261.7,139.6,482.5
0,mean,mean,0.552,368.5,0.0,368.5
0,mean,shuffle,0.278,368.5,222.0,763.8
0,shuffle,model,0.627,368.5,223.3,748.2
0,shuffle,oracle,0.653,261.7,143.2,497.6
0,shuffle,mean,0.594,368.5,27.7,417.6
0,shuffle,shuffle,0.569,368.5,223.7,752.6
1,model,model,0.599,329.8,198.3,668.6
1,model,oracle,0.387,257.1,141.0,477.1
1,model,mean,-1.89,329.8,26.3,375.7
1,model,shuffle,0.408,329.8,203.7,685.7
1,oracle,model,0.61,333.7,198.1,657.6
1,oracle,oracle,0.387,261.0,141.0,476.1
1,oracle,mean,-3.806,333.7,25.0,365.3
1,oracle,shuffle,0.438,333.7,201.2,694.0
1,mean,model,0.62,329.8,199.7,656.6
1,mean,oracle,0.342,257.1,139.4,479.0
1,mean,mean,0.285,329.8,0.0,329.8
1,mean,shuffle,0.375,329.8,199.7,656.6
1,shuffle,model,0.698,329.8,200.1,687.2
1,shuffle,oracle,0.342,257.1,140.8,478.4
1,shuffle,mean,0.416,329.8,26.3,375.7
1,shuffle,shuffle,0.347,329.8,202.6,686.1
2,model,model,0.675,362.5,217.6,718.5
2,model,oracle,0.403,260.6,141.6,483.7
2,model,mean,-0.424,362.5,26.7,408.3
2,model,shuffle,0.32,362.5,221.8,745.7
2,oracle,model,0.665,363.9,218.5,729.5
2,oracle,oracle,0.403,262.0,142.3,500.6
2,oracle,mean,-1.409,363.9,24.7,394.8
2,oracle,shuffle,0.409,363.9,221.0,729.6
2,mean,model,0.671,362.5,219.6,742.9
2,mean,oracle,0.395,260.6,140.0,482.2
2,mean,mean,0.36,362.5,0.0,362.5
2,mean,shuffle,0.37,362.5,219.6,742.9
2,shuffle,model,0.675,362.5,219.9,722.1
2,shuffle,oracle,0.395,260.6,143.0,491.2
2,shuffle,mean,0.367,362.5,26.7,408.3
2,shuffle,shuffle,0.408,362.5,221.3,735.4
3,model,model,0.797,350.5,217.7,749.1
3,model,oracle,0.428,263.8,145.4,508.5
3,model,mean,-0.276,350.5,31.3,399.5
3,model,shuffle,0.133,350.5,217.5,763.6
3,oracle,model,0.796,346.4,215.2,747.9
3,oracle,oracle,0.428,259.8,142.3,505.4
3,oracle,mean,-0.649,346.4,25.0,378.3
3,oracle,shuffle,0.261,346.4,217.1,757.0
3,mean,model,0.758,350.5,214.7,773.5
3,mean,oracle,0.409,263.8,139.3,487.0
3,mean,mean,0.362,350.5,0.0,350.5
3,mean,shuffle,-0.019,350.5,214.7,773.5
3,shuffle,model,0.749,350.5,217.8,764.0
3,shuffle,oracle,0.409,263.8,142.2,491.3
3,shuffle,mean,0.277,350.5,31.3,399.5
3,shuffle,shuffle,0.38,350.5,217.7,763.8
4,model,model,0.636,333.2,202.8,686.9
4,model,oracle,0.213,257.5,142.0,471.7
4,model,mean,-0.467,333.2,27.5,374.4
4,model,shuffle,0.291,333.2,201.8,695.2
4,oracle,model,0.62,333.4,201.2,679.1
4,oracle,oracle,0.208,257.6,140.0,474.6
4,oracle,mean,-3.172,333.4,24.5,365.9
4,oracle,shuffle,0.342,333.4,201.9,687.0
4,mean,model,0.727,333.2,201.8,698.4
4,mean,oracle,0.313,257.5,138.4,481.8
4,mean,mean,0.498,333.2,0.0,333.2
4,mean,shuffle,0.167,333.2,201.8,698.4
4,shuffle,model,0.717,333.2,204.9,686.2
4,shuffle,oracle,0.286,257.5,141.0,481.1
4,shuffle,mean,0.317,333.2,27.5,374.4
4,shuffle,shuffle,0.323,333.2,205.2,702.1
5,model,model,0.667,338.3,215.2,701.2
5,model,oracle,0.381,257.0,140.4,465.7
5,model,mean,-0.478,338.3,28.2,387.5
5,model,shuffle,0.105,338.3,219.0,731.5
5,oracle,model,0.609,338.8,214.5,701.4
5,oracle,oracle,0.381,257.5,140.0,472.5
5,oracle,mean,-2.362,338.8,24.4,371.5
5,oracle,shuffle,0.461,338.8,218.5,727.6
5,mean,model,0.532,338.3,216.2,698.8
5,mean,oracle,0.403,257.0,138.6,476.5
5,mean,mean,0.449,338.3,0.0,338.3
5,mean,shuffle,0.583,338.3,216.2,698.8
5,shuffle,model,0.478,338.3,218.1,731.7
5,shuffle,oracle,0.403,257.0,142.8,483.6
5,shuffle,mean,0.196,338.3,28.2,387.5
