seed,model,m,nv,v_true,v_inmodel,curse_gap,support
0,structured,1,0.609,460.3,401.6,-58.7,0.3754
0,structured,2,0.529,455.9,476.4,20.5,0.3572
0,structured,3,-0.902,376.2,685.2,308.9,0.1014
0,structured,4,-1.238,357.6,609.1,251.6,0.0573
0,structured,5,-3.459,234.0,831.6,597.6,0.0202
0,structured,6,-3.406,236.9,817.3,580.3,0.018
0,structured,7,-3.598,226.2,587.9,361.6,0.0196
0,structured,8,-4.22,191.6,669.1,477.4,0.0196
0,structured,9,-4.241,190.5,1478.6,1288.1,0.0204
0,structured,10,-4.54,173.8,1843.8,1670.0,0.0255
0,structured,11,-4.614,169.7,1857.7,1687.9,0.0255
0,oracle,1,0.609,460.3,460.3,0.0,0.3754
0,oracle,2,0.855,474.0,474.0,0.0,0.4708
0,oracle,3,0.947,479.1,479.1,0.0,0.5358
0,oracle,4,0.966,480.1,480.1,0.0,0.5462
0,oracle,5,1.0,482.1,482.1,0.0,0.5433
0,oracle,6,1.0,482.1,482.1,0.0,0.5433
0,oracle,7,1.0,482.1,482.1,0.0,0.5433
0,oracle,8,1.0,482.1,482.1,0.0,0.5433
0,oracle,9,1.0,482.1,482.1,0.0,0.5433
0,oracle,10,1.0,482.1,482.1,0.0,0.5433
0,oracle,11,1.0,482.1,482.1,0.0,0.5433
1,structured,1,0.599,455.8,441.6,-14.2,0.4847
1,structured,2,0.697,461.3,473.4,12.1,0.3958
1,structured,3,-1.634,330.6,727.6,397.0,0.098
1,structured,4,-2.693,271.2,504.8,233.6,0.078
1,structured,5,-4.101,192.3,489.9,297.6,0.0179
1,structured,6,-4.206,186.4,560.4,374.0,0.0179
1,structured,7,-4.152,189.4,561.9,372.5,0.0205
1,structured,8,-4.136,190.3,562.3,372.1,0.0205
1,structured,9,-4.298,181.2,1415.3,1234.1,0.028
1,structured,10,-4.581,165.3,1652.2,1486.8,0.0245
1,structured,11,-4.581,165.3,1652.2,1486.8,0.0245
1,oracle,1,0.599,455.8,455.8,0.0,0.4847
1,oracle,2,0.9,472.7,472.7,0.0,0.5258
1,oracle,3,0.964,476.3,476.3,0.0,0.5132
1,oracle,4,0.995,478.0,478.0,0.0,0.5223
1,oracle,5,1.0,478.3,478.3,0.0,0.5161
1,oracle,6,1.0,478.3,478.3,0.0,0.5161
1,oracle,7,1.0,478.3,478.3,0.0,0.5161
1,oracle,8,1.0,478.3,478.3,0.0,0.5161
1,oracle,9,1.0,478.3,478.3,0.0,0.5161
1,oracle,10,1.0,478.3,478.3,0.0,0.5161
1,oracle,11,1.0,478.3,478.3,0.0,0.5161
2,structured,1,0.675,461.2,447.7,-13.5,0.4656
2,structured,2,0.599,457.0,479.6,22.6,0.4452
2,structured,3,-0.626,389.1,661.4,272.3,0.1724
2,structured,4,-1.996,313.2,558.0,244.8,0.0789
2,structured,5,-3.304,240.7,767.9,527.2,0.0178
2,structured,6,-4.229,189.4,661.5,472.1,0.0178
2,structured,7,-4.214,190.2,661.9,471.7,0.02
2,structured,8,-4.214,190.2,661.9,471.7,0.0192
2,structured,9,-4.176,192.3,1428.7,1236.4,0.0201
2,structured,10,-4.692,163.7,1951.6,1787.9,0.0206
2,structured,11,-4.692,163.7,1951.6,1787.9,0.0206
2,oracle,1,0.675,461.2,461.2,0.0,0.4656
2,oracle,2,0.907,474.0,474.0,0.0,0.4727
2,oracle,3,0.961,477.0,477.0,0.0,0.5234
2,oracle,4,0.993,478.8,478.8,0.0,0.5268
2,oracle,5,1.0,479.2,479.2,0.0,0.5167
2,oracle,6,1.0,479.2,479.2,0.0,0.5167
2,oracle,7,1.0,479.2,479.2,0.0,0.5167
2,oracle,8,1.0,479.2,479.2,0.0,0.5167
2,oracle,9,1.0,479.2,479.2,0.0,0.5167
2,oracle,10,1.0,479.2,479.2,0.0,0.5167
2,oracle,11,1.0,479.2,479.2,0.0,0.5167
3,structured,1,0.797,467.6,475.3,7.6,0.3904
3,structured,2,0.309,439.9,583.9,144.0,0.3442
3,structured,3,-1.481,338.3,806.9,468.6,0.0471
3,structured,4,-3.631,216.2,715.0,498.8,0.0187
3,structured,5,-4.147,186.9,657.1,470.3,0.0187
3,structured,6,-4.138,187.4,657.4,470.0,0.0187
3,structured,7,-4.08,190.7,659.4,468.7,0.017
3,structured,8,-4.081,190.6,659.4,468.7,0.0184
3,structured,9,-3.573,219.5,1070.4,850.9,0.0282
3,structured,10,-4.48,168.0,1818.0,1650.0,0.0267
3,structured,11,-4.475,168.3,1818.6,1650.3,0.0267
3,oracle,1,0.797,467.6,467.6,0.0,0.3904
3,oracle,2,0.905,473.8,473.8,0.0,0.4663
3,oracle,3,0.956,476.7,476.7,0.0,0.5041
3,oracle,4,0.975,477.7,477.7,0.0,0.5171
3,oracle,5,1.0,479.2,479.2,0.0,0.5098
3,oracle,6,1.0,479.2,479.2,0.0,0.5098
3,oracle,7,1.0,479.2,479.2,0.0,0.5098
3,oracle,8,1.0,479.2,479.2,0.0,0.5098
3,oracle,9,1.0,479.2,479.2,0.0,0.5098
3,oracle,10,1.0,479.2,479.2,0.0,0.5098
3,oracle,11,1.0,479.2,479.2,0.0,0.5098
4,structured,1,0.636,460.4,428.8,-31.6,0.4471
4,structured,2,0.555,455.9,488.0,32.2,0.4102
4,structured,3,-0.792,380.9,618.1,237.2,0.158
4,structured,4,-4.042,200.2,347.6,147.3,0.0168
4,structured,5,-4.059,199.3,367.3,168.1,0.0168
4,structured,6,-4.118,196.0,414.7,218.7,0.0172
4,structured,7,-4.136,195.0,427.6,232.6,0.0156
4,structured,8,-4.206,191.1,462.6,271.4,0.0156
4,structured,9,-4.058,199.4,1336.1,1136.8,0.0326
4,structured,10,-4.436,178.3,1533.8,1355.5,0.0326
4,structured,11,-4.436,178.3,1533.8,1355.5,0.0326
4,oracle,1,0.636,460.4,460.4,0.0,0.4471
4,oracle,2,0.856,472.6,472.6,0.0,0.5239
4,oracle,3,0.951,477.9,477.9,0.0,0.5013
4,oracle,4,0.971,479.0,479.0,0.0,0.5208
4,oracle,5,1.0,480.6,480.6,0.0,0.5097
4,oracle,6,1.0,480.6,480.6,0.0,0.5097
4,oracle,7,1.0,480.6,480.6,0.0,0.5097
4,oracle,8,1.0,480.6,480.6,0.0,0.5097
4,oracle,9,1.0,480.6,480.6,0.0,0.5097
4,oracle,10,1.0,480.6,480.6,0.0,0.5097
4,oracle,11,1.0,480.6,480.6,0.0,0.5097
5,structured,1,0.667,458.6,475.0,16.5,0.4787
5,structured,2,0.528,450.6,510.1,59.5,0.3718
5,structured,3,-0.7,379.9,703.5,323.6,0.1382
5,structured,4,-3.908,195.4,622.2,426.8,0.0143
5,structured,5,-4.056,186.8,761.3,574.5,0.0143
5,structured,6,-4.046,187.4,761.6,574.2,0.0143
5,structured,7,-4.025,188.6,762.1,573.5,0.0143
5,structured,8,-3.991,190.6,763.2,572.6,0.0126
5,structured,9,-4.245,175.9,1910.0,1734.0,0.0141
5,structured,10,-4.455,163.9,2066.8,1902.9,0.0141
5,structured,11,-4.455,163.9,2066.8,1902.9,0.0126
5,oracle,1,0.667,458.6,458.6,0.0,0.4787
5,oracle,2,0.894,471.6,471.6,0.0,0.5117
5,oracle,3,0.965,475.7,475.7,0.0,0.516
5,oracle,4,0.996,477.5,477.5,0.0,0.5168
5,oracle,5,1.0,477.8,477.8,0.0,0.5173
5,oracle,6,1.0,477.8,477.8,0.0,0.5173
5,oracle,7,1.0,477.8,477.8,0.0,0.5173
5,oracle,8,1.0,477.8,477.8,0.0,0.5173
5,oracle,9,1.0,477.8,477.8,0.0,0.5173
5,oracle,10,1.0,477.8,477.8,0.0,0.5173
5,oracle,11,1.0,477.8,477.8,0.0,0.5173
6,structured,1,0.697,464.8,492.7,27.9,0.415
6,structured,2,0.756,468.0,538.6,70.6,0.4434
6,structured,3,-0.931,376.0,755.7,379.8,0.0527
6,structured,4,-4.162,199.6,592.9,393.2,0.0157
6,structured,5,-4.319,191.0,745.2,554.1,0.0138
6,structured,6,-4.303,192.0,745.6,553.6,0.0138
6,structured,7,-4.303,192.0,745.6,553.6,0.0138
6,structured,8,-4.303,191.9,745.6,553.7,0.0153
6,structured,9,-4.285,192.9,1451.1,1258.2,0.0168
6,structured,10,-4.783,165.7,1926.0,1760.3,0.0479
6,structured,11,-4.783,165.7,1926.0,1760.3,0.0479
6,oracle,1,0.697,464.8,464.8,0.0,0.415
6,oracle,2,0.919,476.9,476.9,0.0,0.483
6,oracle,3,0.969,479.6,479.6,0.0,0.5111
6,oracle,4,0.981,480.3,480.3,0.0,0.5163
6,oracle,5,1.0,481.3,481.3,0.0,0.5011
6,oracle,6,1.0,481.3,481.3,0.0,0.5011
6,oracle,7,1.0,481.3,481.3,0.0,0.5011
6,oracle,8,1.0,481.3,481.3,0.0,0.5011
6,oracle,9,1.0,481.3,481.3,0.0,0.5011
6,oracle,10,1.0,481.3,481.3,0.0,0.5011
6,oracle,11,1.0,481.3,481.3,0.0,0.5011
7,structured,1,0.612,459.9,431.4,-28.5,0.5146
7,structured,2,0.612,459.8,468.8,9.0,0.3883
7,structured,3,-0.239,412.5,525.8,113.3,0.103
7,structured,4,-3.002,258.9,548.1,289.1,0.0319
7,structured,5,-3.998,203.6,454.4,250.9,0.0158
7,structured,6,-4.186,193.1,456.6,263.5,0.0158
7,structured,7,-4.212,191.6,471.9,280.3,0.0158
7,structured,8,-4.211,191.7,472.0,280.3,0.0158
7,structured,9,-4.001,203.4,1321.2,1117.9,0.0512
7,structured,10,-4.463,177.7,1556.6,1378.9,0.0346
7,structured,11,-4.463,177.7,1556.6,1378.9,0.0346
7,oracle,1,0.612,459.9,459.9,0.0,0.5146
7,oracle,2,0.858,473.5,473.5,0.0,0.4912
7,oracle,3,0.95,478.6,478.6,0.0,0.4804
7,oracle,4,0.968,479.6,479.6,0.0,0.4841
7,oracle,5,1.0,481.4,481.4,0.0,0.4812
7,oracle,6,1.0,481.4,481.4,0.0,0.4812
7,oracle,7,1.0,481.4,481.4,0.0,0.4812
7,oracle,8,1.0,481.4,481.4,0.0,0.4812
7,oracle,9,1.0,481.4,481.4,0.0,0.4812
7,oracle,10,1.0,481.4,481.4,0.0,0.4812
7,oracle,11,1.0,481.4,481.4,0.0,0.4812
8,structured,1,0.683,456.7,452.4,-4.3,0.5217
8,structured,2,0.657,455.3,498.1,42.9,0.417
8,structured,3,-0.681,379.2,624.9,245.7,0.1605
8,structured,4,-1.525,331.3,805.4,474.1,0.0589
8,structured,5,-3.175,237.5,680.7,443.3,0.0237
8,structured,6,-4.66,153.1,1550.1,1397.1,0.0431
8,structured,7,-4.487,162.9,1555.9,1393.0,0.0424
8,structured,8,-4.333,171.7,1628.2,1456.5,0.0424
8,structured,9,-4.366,169.8,1651.7,1481.9,0.0387
8,structured,10,-4.366,169.8,1651.7,1481.9,0.0387
8,structured,11,-4.366,169.8,1651.7,1481.9,0.0387
8,oracle,1,0.683,456.7,456.7,0.0,0.5217
8,oracle,2,0.934,471.0,471.0,0.0,0.5292
