model,m,nv,nv_sd,v_inmodel,curse_gap,support
oracle,1,0.67,0.061,461.29,0.0,0.453
oracle,2,0.897,0.032,473.99,0.0,0.498
oracle,3,0.96,0.008,477.5,0.0,0.513
oracle,4,0.98,0.011,478.62,0.0,0.52
oracle,5,1.0,0.001,479.75,0.0,0.513
oracle,6,1.0,0.001,479.75,0.0,0.513
oracle,7,1.0,0.0,479.77,0.0,0.512
oracle,8,1.0,0.0,479.77,0.0,0.512
oracle,9,1.0,0.0,479.77,0.0,0.512
oracle,10,1.0,0.0,479.77,0.0,0.512
oracle,11,1.0,0.0,479.77,0.0,0.512
structured,1,0.67,0.061,456.37,-4.91,0.453
structured,2,0.585,0.121,505.21,48.73,0.401
structured,3,-0.905,0.41,682.72,309.72,0.116
structured,4,-2.976,1.073,592.81,335.78,0.039
structured,5,-3.881,0.407,637.32,431.02,0.018
structured,6,-4.148,0.309,724.3,533.0,0.02
structured,7,-4.139,0.229,705.23,513.39,0.02
structured,8,-4.188,0.1,724.24,535.08,0.02
structured,9,-4.135,0.228,1460.85,1268.78,0.03
structured,10,-4.536,0.126,1798.87,1629.21,0.03
structured,11,-4.543,0.128,1800.32,1631.03,0.03
