seed,info_mode,method,support_mask,period,reference_bin,action_index,price,optimal_action,myopic_action,matches_optimal,matches_myopic,off_support,ranking_len,valid_output,parse_note,raw_response,cell_id
0,log_only,DP oracle,none,0,0,10,2.0,10,0,True,False,False,1,True,deterministic,,N100_noise0.5
0,log_only,DP oracle + support top3,top3,0,0,10,2.0,10,0,True,False,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Myopic one-step optimizer,none,0,0,0,0.5,10,0,False,True,False,1,True,deterministic,,N100_noise0.5
0,log_only,Myopic one-step optimizer + support top3,top3,0,0,0,0.5,10,0,False,True,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM),none,0,0,0,0.5,10,0,False,True,False,11,True,deterministic,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM) + support top3,top3,0,0,0,0.5,10,0,False,True,False,11,True,ranked_supported,,N100_noise0.5
0,log_only,Random policy,none,0,0,4,1.1,10,0,False,False,True,11,True,chance_floor,,N100_noise0.5
0,log_only,Random policy + support top3,top3,0,0,10,2.0,10,0,True,False,False,11,True,ranked_supported,,N100_noise0.5
0,log_only,DP oracle,none,0,1,10,2.0,10,1,True,False,False,1,True,deterministic,,N100_noise0.5
0,log_only,DP oracle + support top3,top3,0,1,10,2.0,10,1,True,False,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Myopic one-step optimizer,none,0,1,1,0.65,10,1,False,True,False,1,True,deterministic,,N100_noise0.5
0,log_only,Myopic one-step optimizer + support top3,top3,0,1,1,0.65,10,1,False,True,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM),none,0,1,1,0.65,10,1,False,True,False,11,True,deterministic,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM) + support top3,top3,0,1,1,0.65,10,1,False,True,False,11,True,ranked_supported,,N100_noise0.5
0,log_only,Random policy,none,0,1,9,1.85,10,1,False,False,True,11,True,chance_floor,,N100_noise0.5
0,log_only,Random policy + support top3,top3,0,1,1,0.65,10,1,False,True,False,11,True,ranked_supported,,N100_noise0.5
0,log_only,DP oracle,none,0,2,10,2.0,10,1,True,False,False,1,True,deterministic,,N100_noise0.5
0,log_only,DP oracle + support top3,top3,0,2,10,2.0,10,1,True,False,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Myopic one-step optimizer,none,0,2,1,0.65,10,1,False,True,False,1,True,deterministic,,N100_noise0.5
0,log_only,Myopic one-step optimizer + support top3,top3,0,2,1,0.65,10,1,False,True,False,1,True,ranked_supported,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM),none,0,2,1,0.65,10,1,False,True,False,11,True,deterministic,,N100_noise0.5
0,log_only,Heuristic proxy (not LLM) + support top3,top3,0,2,1,0.65,10,1,False,True,False,11,True,ranked_supported,,N100_noise0.5
