cell_id,N,noise,seed,info_mode,provider,model,method,support_mask,value,v_behaviour_myopic,v_optimal,nv,regret,valid_output_rate,off_support_rate,unlogged_action_rate,off_support_rate_statetable,match_optimal_rate,match_myopic_rate,mean_ranking_len,modal_action_share,distinct_actions_used,action_entropy_normalised
N100_noise0.5,100,0.5,0,log_only,heuristic,,DP oracle,none,482.26747238006357,425.0469525373324,482.26747238006357,1.0,0.0,1.0,0.01375,0.01375,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,0,log_only,heuristic,,DP oracle + support top3,top3,480.53520287318594,425.0469525373324,482.26747238006357,0.9697264283575417,1.7322695068776284,1.0,0.0,0.0,0.0,0.44642857142857145,0.3392857142857143,1.0,0.4166666666666667,8,0.7271807219206687
N100_noise0.5,100,0.5,0,log_only,heuristic,,Heuristic proxy (not LLM),none,432.5954345087815,425.0469525373324,482.26747238006357,0.13191914355542192,49.67203787128204,1.0,0.0,0.0,0.30357142857142855,0.35119047619047616,0.48214285714285715,11.0,0.3273809523809524,8,0.7602324300895651
N100_noise0.5,100,0.5,0,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,432.5954345087815,425.0469525373324,482.26747238006357,0.13191914355542192,49.67203787128204,1.0,0.0,0.0,0.0,0.30357142857142855,0.48214285714285715,11.0,0.42857142857142855,8,0.6879298323448056
N100_noise0.5,100,0.5,0,log_only,heuristic,,Myopic one-step optimizer,none,425.0469525373324,425.0469525373324,482.26747238006357,0.0,57.220519842731164,1.0,0.08875,0.08875,0.48214285714285715,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,0,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,428.9009485868105,425.0469525373324,482.26747238006357,0.06735339105745086,53.366523793253066,1.0,0.0,0.0,0.0,0.26785714285714285,0.5178571428571429,1.0,0.42857142857142855,7,0.6770815472374125
N100_noise0.5,100,0.5,0,log_only,heuristic,,Random policy,none,342.14252295413496,425.0469525373324,482.26747238006357,-1.448858378271601,140.1249494259286,1.0,0.8875,0.95375,0.8809523809523809,0.06547619047619048,0.08333333333333333,11.0,0.13095238095238096,11,0.9881430043452202
N100_noise0.5,100,0.5,0,log_only,heuristic,,Random policy + support top3,top3,460.54477734690704,425.0469525373324,482.26747238006357,0.6203687926488489,21.722695033156526,1.0,0.0,0.0,0.0,0.375,0.4107142857142857,11.0,0.4226190476190476,8,0.7223229865219196
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,DP oracle,none,482.26747238006357,425.0469525373324,482.26747238006357,1.0,0.0,1.0,0.01375,0.01375,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,DP oracle + support top3,top3,480.53520287318594,425.0469525373324,482.26747238006357,0.9697264283575417,1.7322695068776284,1.0,0.0,0.0,0.0,0.44642857142857145,0.3392857142857143,1.0,0.4166666666666667,8,0.7271807219206687
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,Heuristic proxy (not LLM),none,431.17662267297237,425.0469525373324,482.26747238006357,0.10712363593492648,51.090849707091195,1.0,0.13875,0.13875,0.5476190476190477,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,430.73945390816993,425.0469525373324,482.26747238006357,0.09948356614870325,51.52801847189363,1.0,0.0,0.0,0.0,0.27976190476190477,0.5059523809523809,11.0,0.42857142857142855,7,0.6791439114345516
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,Myopic one-step optimizer,none,425.0469525373324,425.0469525373324,482.26747238006357,0.0,57.220519842731164,1.0,0.08875,0.08875,0.48214285714285715,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,0,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,428.9009485868105,425.0469525373324,482.26747238006357,0.06735339105745086,53.366523793253066,1.0,0.0,0.0,0.0,0.26785714285714285,0.5178571428571429,1.0,0.42857142857142855,7,0.6770815472374125
