method,info_mode,support_mask,provider,model,n_runs,mean_nv,median_nv,mean_regret,valid_output_rate,off_support_rate,unlogged_action_rate,match_optimal_rate,match_myopic_rate,modal_action_share,distinct_actions_used,action_entropy_normalised
DP oracle,oracle_info,none,deepseek,deepseek-v4-pro,10,1.0,1.0,0.0,1.0,0.026750000000000003,0.026750000000000003,1.0,0.32142857142857145,0.31547619047619047,9.0,0.7692429845830043
DP oracle + support top3,oracle_info,top3,deepseek,deepseek-v4-pro,10,0.9494903358061617,0.9757099408396217,2.8875723443909465,1.0,0.0,0.0,0.43154761904761907,0.3482142857142857,0.4238095238095238,8.0,0.7215662238310094
Random policy + support top3,oracle_info,top3,deepseek,deepseek-v4-pro,10,0.44786489311322814,0.4310021861462474,31.616994725236918,1.0,0.0,0.0,0.3416666666666667,0.43809523809523815,0.4267857142857143,7.8,0.7079910929659513
Heuristic proxy (not LLM) + support top3,oracle_info,top3,deepseek,deepseek-v4-pro,10,0.11741070842222368,0.1143218653192749,50.654026861259084,1.0,0.0,0.0,0.2619047619047619,0.5178571428571429,0.4291666666666667,7.0,0.6765621785878889
Heuristic proxy (not LLM),oracle_info,none,deepseek,deepseek-v4-pro,10,0.08823811022907464,0.0868096810182882,52.337289448492946,1.0,0.164125,0.164125,0.34523809523809523,0.9107142857142858,0.23214285714285715,6.0,0.6776289834272279
LLM deepseek deepseek-v4-pro + support top3,oracle_info,top3,deepseek,deepseek-v4-pro,10,0.0596084203706954,0.060373423135893216,53.96157929440062,1.0,0.0,0.0,0.24166666666666664,0.5380952380952382,0.4291666666666667,7.0,0.6722312183042527
Myopic one-step optimizer + support top3,oracle_info,top3,deepseek,deepseek-v4-pro,10,0.0596084203706954,0.060373423135893216,53.96157929440062,1.0,0.0,0.0,0.24166666666666664,0.5380952380952382,0.4291666666666667,7.0,0.6722312183042527
LLM deepseek deepseek-v4-pro,oracle_info,none,deepseek,deepseek-v4-pro,10,0.031445274339996464,0.03273589575282279,55.587576730341404,1.0,0.10974999999999999,0.10974999999999999,0.32202380952380955,0.981547619047619,0.23809523809523808,6.0,0.7011438355254418
Myopic one-step optimizer,oracle_info,none,deepseek,deepseek-v4-pro,10,0.0,0.0,57.39651712086804,1.0,0.09925,0.101,0.32142857142857145,1.0,0.23809523809523808,6.0,0.7140470791885996
Random policy,oracle_info,none,deepseek,deepseek-v4-pro,10,-1.8562713891707863,-1.8721978041865484,164.1779356018464,1.0,0.866375,0.90825,0.09166666666666666,0.08809523809523809,0.13988095238095238,11.0,0.9815028824270133
