gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit DM,Bandit,322.9158468972171,425.0469525373324,482.2674723800636,-1.7848685387832812,0.98625,0.0067114093959731,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit DM support top3,Bandit,435.71740320916456,425.0469525373324,482.2674723800636,0.1864794430592305,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit IPS,Bandit,184.6213600892318,425.0469525373324,482.2674723800636,-4.201737298243758,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit IPS support top3,Bandit,444.51387041127816,425.0469525373324,482.2674723800636,0.3402086861050893,0.0,0.8503626893939394,9.1625,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit DR,Bandit,322.9158468972171,425.0469525373324,482.2674723800636,-1.7848685387832812,0.98625,0.0067114093959731,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,Bandit DR support top3,Bandit,435.71740320916456,425.0469525373324,482.2674723800636,0.1864794430592305,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,0,"Bandit oracle (myopic, true R)",Bandit,425.0469525373324,425.0469525373324,482.2674723800636,0.0,0.08875,0.8110813830412796,8.09375,none,,
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit DM,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit DM support top3,Bandit,431.13375524097415,421.1367484506907,477.8449022706637,0.1762887013042285,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit IPS,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit IPS support top3,Bandit,433.0059537803536,421.1367484506907,477.8449022706637,0.2093033281835123,0.0,0.8458308982683982,8.91,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit DR,Bandit,315.31497107183964,421.1367484506907,477.8449022706637,-1.8660769263410544,0.985,0.0113636363636363,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,Bandit DR support top3,Bandit,431.13375524097415,421.1367484506907,477.8449022706637,0.1762887013042285,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,1,"Bandit oracle (myopic, true R)",Bandit,421.1367484506907,421.1367484506907,477.8449022706637,0.0,0.0925,0.8278454900478711,9.3525,none,,
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit DM,Bandit,324.6977910627866,428.2572553930546,483.61336583743207,-1.8707865039456824,0.98625,0.0109034267912772,0.05375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit DM support top3,Bandit,442.057355635503,428.2572553930546,483.61336583743207,0.2492967828062068,0.0,0.8241863528805663,6.865,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit IPS,Bandit,286.9573070518091,428.2572553930546,483.61336583743207,-2.552562801232676,1.0,0.0,0.0,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit IPS support top3,Bandit,461.44376361766086,428.2572553930546,483.61336583743207,0.599509393962072,0.0,0.8123667657913981,8.1025,top3,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit DR,Bandit,324.6977910627866,428.2572553930546,483.61336583743207,-1.8707865039456824,0.98625,0.0109034267912772,0.05375,none,2000.0,10.0
gate2D_bandit,N100_noise0p05,100,0.05,2,Bandit DR support top3,Bandit,442.057355635503,428.2572553930546,483.61336583743207,0.2492967828062068,0.0,0.8241863528805663,6.865,top3,2000.0,10.0
