cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_unseen_rate
N100_noise0p05,100,0.05,Bandit DM,Bandit,10,-1.8286638980616428,0.03552249676738098,-1.8273569129040723,0.9875
N100_noise0p05,100,0.05,Bandit DM support top3,Bandit,10,0.2280311955720733,0.037617238435261026,0.22693716524040675,0.0
N100_noise0p05,100,0.05,Bandit DR,Bandit,10,-1.8270746300783265,0.03509949899200392,-1.8194105729874925,0.9875
N100_noise0p05,100,0.05,Bandit DR support top3,Bandit,10,0.22780225942159982,0.038144918459668754,0.22693716524040675,0.0
N100_noise0p05,100,0.05,Bandit IPS,Bandit,10,-2.9650712511465995,0.8822604064434371,-2.889132034453295,0.9955
N100_noise0p05,100,0.05,Bandit IPS support top3,Bandit,10,0.40388641473014336,0.16578241582047357,0.4126600907578103,0.0
N100_noise0p05,100,0.05,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.101
N100_noise0p2,100,0.2,Bandit DM,Bandit,10,-1.675148515102157,0.48125484608589275,-1.809364563821201,0.9813750000000001
N100_noise0p2,100,0.2,Bandit DM support top3,Bandit,10,0.20242727680547706,0.05945218797330912,0.20150811563253873,0.0
N100_noise0p2,100,0.2,Bandit DR,Bandit,10,-1.6703035073779735,0.49653656666176144,-1.809364563821201,0.98525
N100_noise0p2,100,0.2,Bandit DR support top3,Bandit,10,0.20928631219594734,0.04490715664656546,0.20512454285028497,0.0
N100_noise0p2,100,0.2,Bandit IPS,Bandit,10,-2.95208603534771,0.8763085671551966,-2.889132034453295,0.994375
N100_noise0p2,100,0.2,Bandit IPS support top3,Bandit,10,0.254656233208841,0.06371495083325475,0.25555088248794927,0.0
N100_noise0p2,100,0.2,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.101
N100_noise0p5,100,0.5,Bandit DM,Bandit,10,-1.4985516727213815,0.6894301932695269,-1.8077644370677821,0.975375
N100_noise0p5,100,0.5,Bandit DM support top3,Bandit,10,0.1951203222683209,0.06194030458198728,0.19496886618502496,0.0
N100_noise0p5,100,0.5,Bandit DR,Bandit,10,-1.6657036129236862,0.47838590604611547,-1.8077644370677821,0.975375
N100_noise0p5,100,0.5,Bandit DR support top3,Bandit,10,0.15218828220689193,0.04891828347981287,0.1615354122422695,0.0
N100_noise0p5,100,0.5,Bandit IPS,Bandit,10,-2.7902212520548137,0.9526281308169332,-2.5046398086006763,0.99725
N100_noise0p5,100,0.5,Bandit IPS support top3,Bandit,10,0.22830566214511339,0.03334964216973232,0.21716983331596895,0.0
N100_noise0p5,100,0.5,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.101
N1600_noise0p05,1600,0.05,Bandit DM,Bandit,10,-1.5353056334761332,0.5834928762528845,-1.8234883462066271,0.97128125
N1600_noise0p05,1600,0.05,Bandit DM support top3,Bandit,10,0.13560653141833942,0.008546916576857883,0.13742287499535324,0.0
N1600_noise0p05,1600,0.05,Bandit DR,Bandit,10,-1.672305192452074,0.49510650469324097,-1.8234883462066271,0.9818125
N1600_noise0p05,1600,0.05,Bandit DR support top3,Bandit,10,0.13272205300095635,0.009270167764783633,0.1335828631970454,0.0
N1600_noise0p05,1600,0.05,Bandit IPS,Bandit,10,-2.1183540416394537,0.5215024445816179,-1.8554164737642482,0.9905078125
N1600_noise0p05,1600,0.05,Bandit IPS support top3,Bandit,10,0.17626386204746675,0.08851157714525952,0.1501729990598799,0.0
N1600_noise0p05,1600,0.05,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.0
N1600_noise0p2,1600,0.2,Bandit DM,Bandit,10,-1.2067512294062381,0.8059108686029659,-1.8031917430686613,0.9681328125
N1600_noise0p2,1600,0.2,Bandit DM support top3,Bandit,10,0.1353926470834971,0.01650282364616244,0.13812717873292907,0.0
N1600_noise0p2,1600,0.2,Bandit DR,Bandit,10,-1.2106767658703812,0.800837367055938,-1.8031917430686613,0.96646875
N1600_noise0p2,1600,0.2,Bandit DR support top3,Bandit,10,0.13571890631656475,0.01250247959868072,0.1335828631970454,0.0
N1600_noise0p2,1600,0.2,Bandit IPS,Bandit,10,-2.2759062256692126,0.650843781219786,-1.8592258304653648,0.9917265625
N1600_noise0p2,1600,0.2,Bandit IPS support top3,Bandit,10,0.1502415483301085,0.036249354469367674,0.142019081081899,0.0
N1600_noise0p2,1600,0.2,"Bandit oracle (myopic, true R)",Bandit,10,0.0,0.0,0.0,0.0
N1600_noise0p5,1600,0.5,Bandit DM,Bandit,10,-1.092140699619854,0.7275734410215878,-1.0748312735749657,0.9656953125
N1600_noise0p5,1600,0.5,Bandit DM support top3,Bandit,10,0.13501496768737736,0.01980187667128318,0.13229388849241355,0.0
N1600_noise0p5,1600,0.5,Bandit DR,Bandit,10,-1.0558914049324648,0.7549600517196726,-1.0599266331983912,0.9584140624999999
N1600_noise0p5,1600,0.5,Bandit DR support top3,Bandit,10,0.1327673481341745,0.017093466767919663,0.13266767375949562,0.0
