gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,support_mask,bandit_updates,w_clip
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DM,Bandit,322.9158468972171,425.0469525373324,482.26747238006357,-1.7848685387832812,0.98625,0.0067114093959731525,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DM support top3,Bandit,435.71740320916456,425.0469525373324,482.26747238006357,0.18647944305923053,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit IPS,Bandit,186.88197158698674,425.0469525373324,482.26747238006357,-4.162230290897999,0.99125,0.01984126984126984,0.04375,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit IPS support top3,Bandit,440.88528156555503,425.0469525373324,482.26747238006357,0.27679456725932916,0.0,0.8508626893939395,9.095,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DR,Bandit,322.9158468972171,425.0469525373324,482.26747238006357,-1.7848685387832812,0.98625,0.0067114093959731525,0.0275,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,Bandit DR support top3,Bandit,435.71740320916456,425.0469525373324,482.26747238006357,0.18647944305923053,0.0,0.8518172348484847,8.51125,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,0,"Bandit oracle (myopic, true R)",Bandit,425.0469525373324,425.0469525373324,482.26747238006357,0.0,0.08875,0.8110813830412796,8.09375,none,,
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DM,Bandit,315.31497107183964,421.1367484506907,477.84490227066374,-1.8660769263410542,0.985,0.011363636363636364,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DM support top3,Bandit,431.13375524097415,421.1367484506907,477.84490227066374,0.17628870130422855,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit IPS,Bandit,315.31497107183964,421.1367484506907,477.84490227066374,-1.8660769263410542,0.985,0.011363636363636364,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit IPS support top3,Bandit,433.0059537803536,421.1367484506907,477.84490227066374,0.2093033281835123,0.0,0.8458308982683982,8.91,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DR,Bandit,315.31497107183964,421.1367484506907,477.84490227066374,-1.8660769263410542,0.985,0.011363636363636364,0.06,none,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,Bandit DR support top3,Bandit,431.13375524097415,421.1367484506907,477.84490227066374,0.17628870130422855,0.0,0.8191504329004329,8.34375,top3,2000.0,10.0
gate2D_bandit,N100_noise0p2,100,0.2,1,"Bandit oracle (myopic, true R)",Bandit,421.1367484506907,421.1367484506907,477.84490227066374,0.0,0.0925,0.8278454900478711,9.3525,none,,
