seed,N,noise,backend,ho_logmse_A,ho_logmse_B,ho_logmse_CatBoost,true_rmse_A,true_rmse_B,true_rmse_CatBoost,A_structured,B_mlp,CatBoost,CatBoost_smoothByStart,CatBoost_lowvar,tgt_std_A,tgt_std_CatBoost,qsurf_resid_A,qsurf_resid_CatBoost,qsurf_disp_A,qsurf_disp_CatBoost
0,100,0.5,catboost,0.2972,0.2528,0.2702,317.357,10.046,18.99,0.609,0.653,0.436,0.436,0.436,226.1,159.8,99.77,15.84,118.19,21.2
1,100,0.5,catboost,0.2885,0.2651,0.3389,240.601,10.132,22.235,0.509,0.253,0.49,0.327,0.49,206.2,205.3,72.23,30.25,86.52,39.67
2,100,0.5,catboost,0.28,0.2665,0.2716,260.254,9.455,19.623,0.644,0.408,0.408,0.409,0.408,219.9,175.9,84.3,25.48,99.88,31.34
3,100,0.5,catboost,0.2673,0.2353,0.2681,303.531,9.245,16.329,0.117,0.411,0.292,0.159,0.292,212.5,158.4,93.6,17.53,110.81,24.56
4,100,0.5,catboost,0.2964,0.2773,0.2851,235.317,9.364,17.581,0.695,0.163,0.334,0.333,0.346,197.4,166.9,71.84,16.29,85.78,23.12
5,100,0.5,catboost,0.2688,0.2787,0.2524,341.497,11.165,18.12,0.465,0.41,0.44,0.389,0.44,209.6,158.6,101.33,24.96,120.13,30.64
6,100,0.5,catboost,0.2627,0.2478,0.287,263.234,13.099,17.736,0.615,0.127,0.555,0.47,0.555,196.3,184.4,81.07,20.9,95.86,29.33
7,100,0.5,catboost,0.2142,0.2058,0.2115,267.18,9.195,17.676,0.54,0.412,0.562,0.512,0.566,210.5,182.7,84.56,17.96,100.49,24.62
8,100,0.5,catboost,0.2543,0.244,0.2774,235.922,7.081,14.953,0.669,0.334,0.528,0.533,0.533,210.7,159.6,75.25,15.34,89.61,21.87
9,100,0.5,catboost,0.256,0.2337,0.2652,322.869,13.614,18.191,0.746,0.325,0.222,0.302,0.324,220.9,162.3,99.4,17.12,118.33,23.12
