seed,model,t,ref_bin,ref_price,true_action,chosen_action,true_price,chosen_price,price_index_error,wrong_action,action_regret,policy_regret,inmodel_optimism,demand_log_rmse,demand_log_error_at_chosen,state_visit_count,selected_support_count,selected_support_share,selected_in_topk_support
0,structured,0,0,0.5,10,10,2.0,2.0,0,0,0.0,256.7035050675155,1466.5253006832231,0.33876270095343164,0.433240263687223,6,2,0.3333333333333333,1
0,structured,0,1,0.575,10,10,2.0,2.0,0,0,0.0,266.93960994300966,1465.485551202367,0.34523896020137523,0.35616959708809426,6,4,0.6666666666666666,1
0,structured,0,2,0.65,10,10,2.0,2.0,0,0,0.0,266.9396099430097,1465.4764094464817,0.35890199716890475,0.279429753291071,3,1,0.3333333333333333,1
0,structured,0,3,0.725,10,10,2.0,2.0,0,0,0.0,269.1757415657854,1464.0278124310303,0.3790702197496867,0.20335288341981772,7,2,0.2857142857142857,1
0,structured,0,4,0.8,10,10,2.0,2.0,0,0,0.0,269.17574156578553,1463.999546999213,0.4031085114030836,0.13264373424661458,3,1,0.3333333333333333,1
0,structured,0,5,0.875,10,8,2.0,1.7,2,1,2.5436270632821447,269.48323700629186,1464.5158442393467,0.4303502772091654,-0.26660272108381755,6,0,0.0,0
0,structured,0,6,0.95,10,10,2.0,2.0,0,0,0.0,290.4382858222969,1527.4908234451725,0.4621408630602273,0.001216380064097855,4,2,0.5,1
0,structured,0,7,1.025,10,10,2.0,2.0,0,0,0.0,290.4382858222969,1527.4127658260873,0.49423894692769776,-0.054620396569169116,2,1,0.5,1
0,structured,0,8,1.1,10,9,2.0,1.85,1,1,3.0874553168914645,293.5257411391884,1526.654526194545,0.5297859828428815,-0.2729827328089033,4,0,0.0,0
0,structured,0,9,1.175,3,9,0.95,1.85,6,1,4.158322039104576,294.5966078614015,1526.2925801451338,0.5710090013702591,-0.32125755269658296,1,0,0.0,0
0,structured,0,10,1.25,3,10,0.95,2.0,7,1,3.7180074038955127,304.36055081687937,1628.0506695523522,0.6177841692551025,-0.20320985474393358,5,0,0.0,0
0,structured,0,11,1.325,10,10,2.0,2.0,0,0,0.0,305.88465603166765,1636.8216891809561,0.6698908072458631,-0.2500859962282491,6,3,0.5,1
0,structured,0,12,1.4,5,10,1.25,2.0,5,1,5.953876606571839,311.8385326382395,1636.479388417708,0.7271385832139654,-0.295290670085411,3,0,0.0,0
0,structured,0,13,1.475,4,10,1.1,2.0,6,1,15.551429785321204,328.49369052338363,1720.2934467243858,0.7893446417809454,-0.3386873264456248,3,0,0.0,0
0,structured,0,14,1.55,4,10,1.1,2.0,6,1,19.002410652202855,331.9446713902653,1719.7166854076013,0.8563174022668228,-0.379895573444443,7,0,0.0,0
0,structured,0,15,1.625,4,10,1.1,2.0,6,1,14.809008400585412,338.6979481140705,1818.3555148214039,0.9282476164821989,-0.41657557109515975,4,0,0.0,0
0,structured,0,16,1.7,5,10,1.25,2.0,5,1,29.2347416172492,353.1236813307343,1817.4656788587904,1.0046017946919577,-0.4466813617670806,8,0,0.0,0
0,structured,0,17,1.775,5,0,1.25,0.5,5,1,92.39911006086874,346.4864574768385,1842.9153836088515,1.0857760388171187,2.38306138683327,8,0,0.0,1
0,structured,0,18,1.85,5,0,1.25,0.5,5,1,99.2999859664638,355.3613592285101,1939.6580516957163,1.1716551460048183,2.547611519497689,3,0,0.0,1
0,structured,0,19,1.925,6,0,1.4,0.5,6,1,120.93229760018573,376.99367086223197,2054.5630317856267,1.2621509087584348,2.7127923282006243,4,0,0.0,1
0,structured,0,20,2.0,6,0,1.4,0.5,6,1,116.10593352804108,372.80943859555657,2302.221339810084,1.3571380963470991,2.8783832997517695,7,0,0.0,1
0,structured,1,0,0.5,10,10,2.0,2.0,0,0,0.0,233.13110826290824,1327.7424553341768,0.33039159113022837,0.46033275588324396,4,2,0.5,1
0,structured,1,1,0.575,10,10,2.0,2.0,0,0,0.0,241.82331276013804,1326.778966122009,0.3343832276814561,0.38338173125581165,0,0,0.0,0
0,structured,1,2,0.65,10,10,2.0,2.0,0,0,0.0,241.82331276013804,1326.7724404139828,0.34615848769949,0.3070458012311885,9,0,0.0,0
0,structured,1,3,0.725,10,10,2.0,2.0,0,0,0.0,244.0594443829138,1325.3739556340777,0.36503506828468274,0.23163454631290237,2,0,0.0,0
0,structured,1,4,0.8,10,10,2.0,2.0,0,0,0.0,244.05944438291385,1325.349052500272,0.38888871646811096,0.1608409624227135,3,1,0.3333333333333333,1
0,structured,1,5,0.875,10,8,2.0,1.7,2,1,2.5436270632821447,244.3669398234202,1325.8566144293745,0.4181119722788383,-0.24339644908730124,3,0,0.0,0
0,structured,1,6,0.95,10,10,2.0,2.0,0,0,0.0,247.67986275377294,1355.7360134953644,0.4508787833607577,0.02486232319114756,3,0,0.0,0
0,structured,1,7,1.025,3,10,0.95,2.0,7,1,0.7449610525031858,248.42482380627612,1355.660716763425,0.4848327307345856,-0.032609149161733686,0,0,0.0,0
0,structured,1,8,1.1,2,9,0.8,1.85,7,1,6.407484662196794,254.08734741596976,1354.9306426570806,0.5217255541231615,-0.25120846538762853,8,0,0.0,0
0,structured,1,9,1.175,2,9,0.8,1.85,7,1,8.381510508273323,256.06137326204623,1354.580470646938,0.5644008899897848,-0.29923956155331666,3,0,0.0,0
0,structured,1,10,1.25,3,10,0.95,2.0,7,1,3.367522081184802,256.7035050675155,1466.3624984516327,0.612679217815444,-0.18040702615150328,2,0,0.0,0
0,structured,1,11,1.325,10,10,2.0,2.0,0,0,0.0,266.9396099430097,1465.3247436568115,0.6663336446759435,-0.22714060739437297,15,6,0.4,1
0,structured,1,12,1.4,4,9,1.1,1.85,5,1,15.83975857945478,269.1757415657855,1463.8950301781701,0.7251234672264273,-0.4315064266210664,18,0,0.0,0
0,structured,1,13,1.475,4,10,1.1,2.0,6,1,14.18392606536247,290.43828582229696,1527.4894198705942,0.7887256817068633,-0.3127688101287587,11,0,0.0,0
0,structured,1,14,1.55,4,10,1.1,2.0,6,1,17.63490693224412,293.8892666891786,1526.9624601418682,0.8571291677099666,-0.34767950589836294,7,0,0.0,0
0,structured,1,15,1.625,4,10,1.1,2.0,6,1,9.897585941136242,300.64254341298385,1628.567910179736,0.9306287163718473,-0.3795825383857139,5,0,0.0,0
0,structured,1,16,1.7,5,0,1.25,0.5,5,1,83.50238069724122,305.88465603166765,1637.5983300686944,1.0091009051869595,2.2441053699234415,7,0,0.0,1
0,structured,1,17,1.775,7,0,1.55,0.5,7,1,90.559985403636,312.94226073806243,1721.8593151556356,1.0922411362789954,2.4081887209028405,0,0,0.0,1
0,structured,1,18,1.85,6,0,1.4,0.5,6,1,101.21623975051733,323.8889397134851,1821.2233668200856,1.1800155666269136,2.5729487385491208,0,0,0.0,1
0,structured,1,19,1.925,6,0,1.4,0.5,6,1,123.83443009827869,346.5071300612464,1939.2608542342145,1.2723582512371625,2.738366590778475,0,0,0.0,1
0,structured,1,20,2.0,6,0,1.4,0.5,6,1,117.4641656478696,350.59527391077785,2186.7426726393483,1.3692107098839312,2.9043699804023895,0,0,0.0,1
0,structured,2,0,0.5,10,10,2.0,2.0,0,0,0.0,171.8833610057124,1051.6222446147285,0.3235955943528985,0.4871591421293495,2,0,0.0,0
0,structured,2,1,0.575,10,10,2.0,2.0,0,0,0.0,194.58428746107137,1130.23750749152,0.3248349859368946,0.4114402808664561,0,0,0.0,0
0,structured,2,2,0.65,10,10,2.0,2.0,0,0,0.0,194.58428746107143,1130.2343489094817,0.33431480932417845,0.33641180181968355,11,0,0.0,0
0,structured,2,3,0.725,10,10,2.0,2.0,0,0,0.0,202.52046921654716,1129.953600541106,0.3517265850781562,0.26150982464510597,2,0,0.0,0
0,structured,2,4,0.8,10,10,2.0,2.0,0,0,0.0,202.52046921654716,1129.9326779246878,0.37500629264432883,0.19099286930034265,3,0,0.0,0
0,structured,2,5,0.875,10,8,2.0,1.7,2,1,6.2678658213598055,200.85215328243123,1129.3778600282403,0.40429784164194843,-0.21487586527054153,3,0,0.0,0
0,structured,2,6,0.95,10,10,2.0,2.0,0,0,0.0,217.1933219527874,1220.9721375608594,0.43900103102954785,0.051927074968182274,11,9,0.8181818181818182,1
0,structured,2,7,1.025,10,10,2.0,2.0,0,0,0.0,217.1933219527874,1220.8975242557772,0.4755481497988018,-0.009160199326568308,0,0,0.0,0
0,structured,2,8,1.1,10,9,2.0,1.85,1,1,5.18895338163901,222.38227533442642,1220.1953139499585,0.5141613759665489,-0.22902449756880322,11,0,0.0,0
0,structured,2,9,1.175,2,9,0.8,1.85,7,1,5.479378010180369,222.67269996296776,1219.8572725877136,0.55831584586452,-0.27685256171470585,18,0,0.0,0
0,structured,2,10,1.25,10,10,2.0,2.0,0,0,0.0,233.13110826290824,1327.566936749647,0.6079080797121545,-0.15647217770074015,5,3,0.6,1
0,structured,2,11,1.325,10,10,2.0,2.0,0,0,0.0,241.82331276013804,1326.6033544516213,0.6626826934911895,-0.20040624870270574,15,9,0.6,1
0,structured,2,12,1.4,4,9,1.1,1.85,5,1,10.928336120005554,244.05944438291382,1325.2204738801797,0.7224674322537388,-0.3992907786103277,6,0,0.0,0
0,structured,2,13,1.475,4,10,1.1,2.0,6,1,12.49377384753069,247.67986275377297,1355.7069830487235,0.7877406879939473,-0.2755240484120204,7,0,0.0,0
0,structured,2,14,1.55,5,10,1.25,2.0,5,1,16.036962817803612,251.22305172404594,1355.2146531417745,0.8582726593754624,-0.3095883394949649,0,0,0.0,0
0,structured,2,15,1.625,4,10,1.1,2.0,6,1,11.931672481382122,253.33598298633066,1466.8267941804113,0.9338711126626194,-0.34104838184609987,0,0,0.0,0
0,structured,2,16,1.7,5,10,1.25,2.0,5,1,25.535299438061145,266.9396099430097,1466.0379418374878,1.014343076718287,-0.3693694309670277,6,0,0.0,0
0,structured,2,17,1.775,5,0,1.25,0.5,5,1,91.9274891235948,276.2543597569345,1528.9532911647743,1.0995445669301513,2.433380952741694,0,0,0.0,1
0,structured,2,18,1.85,6,0,1.4,0.5,6,1,106.82941897541508,290.7449574718476,1631.2266175861325,1.1893146459372295,2.5986593485672342,0,0,0.0,1
0,structured,2,19,1.925,6,0,1.4,0.5,6,1,124.53618686372721,308.4517253601597,1752.5224057815117,1.2834947348709833,2.764308391799392,0,0,0.0,1
0,structured,2,20,2.0,6,0,1.4,0.5,6,1,117.4641656478696,289.347526653582,1934.7231128264627,1.3821417470606008,2.930552612412561,0,0,0.0,1
0,structured,3,0,0.5,10,10,2.0,2.0,0,0,0.0,164.5821784207996,1020.7514669189993,0.3184419893716707,0.5141914361493265,2,0,0.0,0
0,structured,3,1,0.575,10,10,2.0,2.0,0,0,0.0,167.70231487269842,1019.974888991755,0.316916838972332,0.43946636552530505,0,0,0.0,0
0,structured,3,2,0.65,10,10,2.0,2.0,0,0,0.0,167.70231487269842,1019.9746586667054,0.3241910190771336,0.3649233615364289,13,0,0.0,0
0,structured,3,3,0.725,10,10,2.0,2.0,0,0,0.0,180.42193700025445,1018.661968276048,0.34004052638740356,0.2906340718704937,3,0,0.0,0
0,structured,3,4,0.8,10,10,2.0,2.0,0,0,0.0,180.42193700025445,1018.6459191142005,0.36239816024955546,0.2213330432836097,3,0,0.0,0
0,structured,3,5,0.875,10,8,2.0,1.7,2,1,13.027117568062437,180.72943244076083,1019.1824110755565,0.3913854898977656,-0.18544075430643947,2,0,0.0,0
0,structured,3,6,0.95,10,10,2.0,2.0,0,0,0.0,179.13791725170069,1013.9676688578362,0.42628681559056897,0.08418035215662506,18,17,0.9444444444444444,1
0,structured,3,7,1.025,10,10,2.0,2.0,0,0,0.0,179.13791725170069,1013.8977986519664,0.46456405788790645,0.021546700971944666,0,0,0.0,0
0,structured,3,8,1.1,10,9,2.0,1.85,1,1,5.18895338163901,184.3268706333397,1013.225264080191,0.5059284289413427,-0.20266689511880598,8,0,0.0,0
0,structured,3,9,1.175,10,9,2.0,1.85,1,1,4.777621244731847,183.91553849643253,1012.9046517717292,0.5514424155368342,-0.24947497691786402,5,0,0.0,0
0,structured,3,10,1.25,10,10,2.0,2.0,0,0,0.0,171.88336100571237,1051.4337905109803,0.6018154622687982,-0.12262723920680008,1,1,1.0,1
0,structured,3,11,1.325,10,10,2.0,2.0,0,0,0.0,194.5842874610714,1130.0462034678837,0.6581849425870053,-0.16250771658205299,7,7,1.0,1
0,structured,3,12,1.4,4,10,1.1,2.0,6,1,7.9361817554757295,202.52046921654716,1129.7776076625973,0.7202585098667688,-0.20049684039347482,0,0,0.0,0
0,structured,3,13,1.475,5,10,1.25,2.0,5,1,17.086058563455424,217.19332195278741,1220.9106736043918,0.7877610309940739,-0.23634283213467588,15,0,0.0,0
0,structured,3,14,1.55,5,10,1.25,2.0,5,1,22.63853749508462,222.74580088441667,1220.4542514428044,0.8604611374635791,-0.2699259611524466,11,0,0.0,0
0,structured,3,15,1.625,4,10,1.1,2.0,6,1,22.690081951502464,233.13110826290824,1327.974345090196,0.9381284874341907,-0.30078758447352505,3,0,0.0,0
0,structured,3,16,1.7,5,10,1.25,2.0,5,1,31.38228644873226,241.82331276013807,1327.2407739095345,1.020584845581162,-0.3284448727808309,9,0,0.0,0
0,structured,3,17,1.775,5,0,1.25,0.5,5,1,93.81615261204985,235.1860889062423,1357.0195777544634,1.107695480234353,2.4586123832670346,0,0,0.0,1
0,structured,3,18,1.85,6,1,1.4,0.65,5,1,76.82213208414896,241.40431050494857,1469.259258567704,1.1993714014496861,2.079052965296378,0,0,0.0,1
0,structured,3,19,1.925,6,0,1.4,0.5,6,1,120.3901662305542,265.69330229163575,1587.1142025273557,1.2955577795579367,2.7905034565689846,0,0,0.0,1
0,structured,3,20,2.0,6,0,1.4,0.5,6,1,113.73992688979195,278.3221053105916,1928.898270701927,1.3960150022801436,2.957054709140893,0,0,0.0,1
0,structured,4,0,0.5,10,10,2.0,2.0,0,0,0.0,128.42533002955668,832.9310232430711,0.3122214107792167,0.5635112462192673,2,0,0.0,0
0,structured,4,1,0.575,10,10,2.0,2.0,0,0,0.0,129.6938535895208,832.4655345930943,0.31077464499653984,0.46680770582933095,0,0,0.0,0
0,structured,4,2,0.65,10,10,2.0,2.0,0,0,0.0,129.6938535895208,832.4680213457767,0.315845228141983,0.3924096280311835,16,0,0.0,0
