seed,arm,mask,nv,off_support,v_beh,v_opt
0,vanilla,none,0.4417,0.4625,66.35,80.92
0,vanilla,top3,0.3349,0.0,66.35,80.92
0,structured,none,0.3372,0.6347,66.35,80.92
0,structured,top3,0.3863,0.0,66.35,80.92
0,empirical,none,0.0733,0.6169,66.35,80.92
0,empirical,top3,0.2799,0.0,66.35,80.92
0,oracle,none,0.3349,0.6194,66.35,80.92
0,oracle,top3,0.291,0.0,66.35,80.92
0,QDT,none,0.5599,0.6281,66.35,80.92
0,QDT,top3,0.423,0.0,66.35,80.92
0,BC,none,0.3623,0.0278,66.35,80.92
0,BC,top3,0.3736,0.0,66.35,80.92
0,random,none,-4.4368,0.7897,66.35,80.92
0,random,top3,-1.2851,0.0,66.35,80.92
1,vanilla,none,0.1374,0.5125,73.79,80.92
1,vanilla,top3,0.062,0.0,73.79,80.92
1,structured,none,-0.1106,0.6403,73.79,80.92
1,structured,top3,0.1316,0.0,73.79,80.92
1,empirical,none,-0.4981,0.6459,73.79,80.92
1,empirical,top3,-0.0529,0.0,73.79,80.92
1,oracle,none,0.0061,0.6631,73.79,80.92
1,oracle,top3,0.1486,0.0,73.79,80.92
1,QDT,none,-0.1795,0.3762,73.79,80.92
1,QDT,top3,-0.0577,0.0,73.79,80.92
1,BC,none,0.0338,0.0,73.79,80.92
1,BC,top3,0.0338,0.0,73.79,80.92
1,random,none,-10.5241,0.7913,73.79,80.92
1,random,top3,-4.0726,0.0,73.79,80.92
2,vanilla,none,0.2128,0.4109,71.22,80.92
2,vanilla,top3,0.3667,0.0,71.22,80.92
2,structured,none,0.0911,0.6356,71.22,80.92
2,structured,top3,0.1973,0.0,71.22,80.92
2,empirical,none,-0.0532,0.6434,71.22,80.92
2,empirical,top3,0.1674,0.0,71.22,80.92
2,oracle,none,0.1679,0.6291,71.22,80.92
2,oracle,top3,0.2806,0.0,71.22,80.92
2,QDT,none,0.472,0.4153,71.22,80.92
2,QDT,top3,0.43,0.0,71.22,80.92
2,BC,none,0.3692,0.0419,71.22,80.92
2,BC,top3,0.3484,0.0,71.22,80.92
2,random,none,-7.0287,0.7913,71.22,80.92
2,random,top3,-2.4684,0.0,71.22,80.92
3,vanilla,none,0.6337,0.4884,65.79,80.92
3,vanilla,top3,0.4904,0.0,65.79,80.92
3,structured,none,0.6322,0.6022,65.79,80.92
3,structured,top3,0.3241,0.0,65.79,80.92
3,empirical,none,0.537,0.6062,65.79,80.92
3,empirical,top3,0.2541,0.0,65.79,80.92
3,oracle,none,0.6573,0.5975,65.79,80.92
3,oracle,top3,0.3658,0.0,65.79,80.92
3,QDT,none,0.6512,0.4656,65.79,80.92
3,QDT,top3,0.4169,0.0,65.79,80.92
3,BC,none,0.467,0.0069,65.79,80.92
3,BC,top3,0.4665,0.0,65.79,80.92
3,random,none,-4.22,0.7972,65.79,80.92
3,random,top3,-0.6929,0.0,65.79,80.92
4,vanilla,none,-0.0599,0.4775,72.1,80.92
4,vanilla,top3,-0.127,0.0,72.1,80.92
4,structured,none,-0.2478,0.6131,72.1,80.92
4,structured,top3,-0.2226,0.0,72.1,80.92
4,empirical,none,-0.3004,0.5969,72.1,80.92
4,empirical,top3,-0.1649,0.0,72.1,80.92
4,oracle,none,-0.1604,0.6197,72.1,80.92
4,oracle,top3,-0.2729,0.0,72.1,80.92
4,QDT,none,-0.0424,0.35,72.1,80.92
4,QDT,top3,-0.0364,0.0,72.1,80.92
4,BC,none,-0.0047,0.0325,72.1,80.92
4,BC,top3,-0.0052,0.0,72.1,80.92
4,random,none,-6.7447,0.7944,72.1,80.92
4,random,top3,-1.9562,0.0,72.1,80.92
5,vanilla,none,0.5702,0.4128,64.42,80.92
5,vanilla,top3,0.5966,0.0,64.42,80.92
5,structured,none,0.5169,0.6212,64.42,80.92
5,structured,top3,0.5225,0.0,64.42,80.92
5,empirical,none,0.347,0.6275,64.42,80.92
5,empirical,top3,0.4557,0.0,64.42,80.92
5,oracle,none,0.5857,0.6181,64.42,80.92
5,oracle,top3,0.503,0.0,64.42,80.92
5,QDT,none,0.6932,0.4478,64.42,80.92
5,QDT,top3,0.5431,0.0,64.42,80.92
5,BC,none,0.626,0.0025,64.42,80.92
5,BC,top3,0.6249,0.0,64.42,80.92
5,random,none,-3.9238,0.7809,64.42,80.92
5,random,top3,-1.3921,0.0,64.42,80.92
6,vanilla,none,0.6837,0.4969,72.17,80.92
6,vanilla,top3,0.4444,0.0,72.17,80.92
6,structured,none,0.238,0.5906,72.17,80.92
6,structured,top3,0.2924,0.0,72.17,80.92
6,empirical,none,-0.0337,0.5928,72.17,80.92
6,empirical,top3,0.1507,0.0,72.17,80.92
6,oracle,none,0.2957,0.6041,72.17,80.92
6,oracle,top3,0.2027,0.0,72.17,80.92
6,QDT,none,0.7194,0.4069,72.17,80.92
6,QDT,top3,0.6121,0.0,72.17,80.92
6,BC,none,0.4484,0.0328,72.17,80.92
6,BC,top3,0.4397,0.0,72.17,80.92
6,random,none,-7.8117,0.7844,72.17,80.92
6,random,top3,-2.9073,0.0,72.17,80.92
7,vanilla,none,0.5586,0.4016,73.12,80.92
7,vanilla,top3,0.4169,0.0,73.12,80.92
7,structured,none,0.3256,0.62,73.12,80.92
7,structured,top3,0.4135,0.0,73.12,80.92
7,empirical,none,0.1825,0.6403,73.12,80.92
7,empirical,top3,0.3093,0.0,73.12,80.92
7,oracle,none,0.5806,0.6262,73.12,80.92
7,oracle,top3,0.467,0.0,73.12,80.92
7,QDT,none,0.7167,0.5125,73.12,80.92
7,QDT,top3,0.5517,0.0,73.12,80.92
7,BC,none,0.3058,0.0238,73.12,80.92
7,BC,top3,0.3136,0.0,73.12,80.92
7,random,none,-8.683,0.7837,73.12,80.92
7,random,top3,-2.1573,0.0,73.12,80.92
8,vanilla,none,0.2206,0.3906,70.3,80.92
8,vanilla,top3,0.1738,0.0,70.3,80.92
8,structured,none,-0.084,0.6419,70.3,80.92
8,structured,top3,0.0204,0.0,70.3,80.92
8,empirical,none,-0.3767,0.6491,70.3,80.92
8,empirical,top3,-0.1967,0.0,70.3,80.92
8,oracle,none,-0.1135,0.6834,70.3,80.92
8,oracle,top3,-0.014,0.0,70.3,80.92
8,QDT,none,0.2794,0.4019,70.3,80.92
8,QDT,top3,0.1497,0.0,70.3,80.92
8,BC,none,0.2101,0.0094,70.3,80.92
8,BC,top3,0.2099,0.0,70.3,80.92
8,random,none,-6.444,0.7966,70.3,80.92
8,random,top3,-2.2671,0.0,70.3,80.92
9,vanilla,none,0.4718,0.3353,67.43,80.92
9,vanilla,top3,0.5214,0.0,67.43,80.92
9,structured,none,0.6307,0.5991,67.43,80.92
9,structured,top3,0.6344,0.0,67.43,80.92
9,empirical,none,0.4224,0.5953,67.43,80.92
9,empirical,top3,0.4922,0.0,67.43,80.92
9,oracle,none,0.5888,0.6131,67.43,80.92
9,oracle,top3,0.6193,0.0,67.43,80.92
9,QDT,none,0.5265,0.3091,67.43,80.92
9,QDT,top3,0.5298,0.0,67.43,80.92
9,BC,none,0.4692,0.0481,67.43,80.92
9,BC,top3,0.4797,0.0,67.43,80.92
9,random,none,-5.2609,0.8091,67.43,80.92
9,random,top3,-1.6579,0.0,67.43,80.92
10,vanilla,none,0.1958,0.3556,72.86,80.92
10,vanilla,top3,0.2328,0.0,72.86,80.92
10,structured,none,-0.0803,0.6244,72.86,80.92
10,structured,top3,0.1661,0.0,72.86,80.92
10,empirical,none,-0.3925,0.6391,72.86,80.92
10,empirical,top3,0.0913,0.0,72.86,80.92
10,oracle,none,-0.1957,0.6256,72.86,80.92
10,oracle,top3,0.1134,0.0,72.86,80.92
10,QDT,none,0.4532,0.4756,72.86,80.92
10,QDT,top3,0.311,0.0,72.86,80.92
10,BC,none,0.2938,0.0481,72.86,80.92
10,BC,top3,0.3191,0.0,72.86,80.92
10,random,none,-8.4188,0.7891,72.86,80.92
10,random,top3,-2.4507,0.0,72.86,80.92
11,vanilla,none,0.5775,0.5272,68.56,80.92
11,vanilla,top3,0.4678,0.0,68.56,80.92
11,structured,none,0.0183,0.6288,68.56,80.92
11,structured,top3,0.3573,0.0,68.56,80.92
11,empirical,none,-0.23,0.6553,68.56,80.92
11,empirical,top3,0.2644,0.0,68.56,80.92
11,oracle,none,-0.1082,0.6522,68.56,80.92
11,oracle,top3,0.3948,0.0,68.56,80.92
11,QDT,none,0.6909,0.6153,68.56,80.92
11,QDT,top3,0.5687,0.0,68.56,80.92
11,BC,none,0.4583,0.0419,68.56,80.92
11,BC,top3,0.4727,0.0,68.56,80.92
11,random,none,-5.0514,0.7894,68.56,80.92
11,random,top3,-1.0696,0.0,68.56,80.92
12,vanilla,none,-0.4183,0.4363,71.59,80.92
12,vanilla,top3,-0.2271,0.0,71.59,80.92
12,structured,none,0.107,0.6391,71.59,80.92
12,structured,top3,0.0079,0.0,71.59,80.92
12,empirical,none,-0.0631,0.6625,71.59,80.92
12,empirical,top3,-0.0256,0.0,71.59,80.92
12,oracle,none,0.0937,0.6144,71.59,80.92
12,oracle,top3,0.0676,0.0,71.59,80.92
12,QDT,none,-0.2425,0.4597,71.59,80.92
12,QDT,top3,-0.2055,0.0,71.59,80.92
12,BC,none,-0.1523,0.0628,71.59,80.92
12,BC,top3,-0.1498,0.0,71.59,80.92
12,random,none,-7.9059,0.8066,71.59,80.92
12,random,top3,-2.5705,0.0,71.59,80.92
13,vanilla,none,-0.2695,0.4925,70.81,80.92
13,vanilla,top3,-0.2208,0.0,70.81,80.92
13,structured,none,-0.3301,0.6438,70.81,80.92
13,structured,top3,-0.325,0.0,70.81,80.92
13,empirical,none,-0.7802,0.6525,70.81,80.92
13,empirical,top3,-0.4835,0.0,70.81,80.92
