expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_dt_vanilla,nv_dt_vanilla_masked,nv_dt_structured,nv_dt_structured_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.0,100,0,0.6726190476190477,0.0,0.0,0.0,-2.1652395012910843,-0.020983350844233722,0.0,-0.0014213465361234059,0.0,-0.07646413949640499,0.0,-5.578338087730393,0.0,-5.6458911970747705,0.0
0.0,100,1,0.6726190476190477,-1.0404903435695779e-15,-1.0404903435695779e-15,-1.0404903435695779e-15,-2.0796710497425206,0.03320639828877938,0.0,-0.21892278140746224,0.0,-0.2549710839909601,0.0,-5.098024042275574,0.0,-5.4504756791119195,0.0
0.0,100,2,0.6726190476190477,-9.860955914945169e-16,0.0,0.0,-1.8985254270893055,-0.016378176942437976,0.0,-0.010427212466219223,0.0,-0.02528591232731063,0.0,-4.9851680795848115,0.0,-5.04248670265925,0.0
0.0,400,0,0.6726190476190477,0.0,0.0,0.0,-1.9796199722057262,0.0,0.0,0.0943482265079032,0.0,-0.0427558638601937,0.0,-4.915583910317061,0.0,-0.7348740798296859,0.0
0.0,400,1,0.6726190476190477,-1.014436710157726e-15,0.0,0.0,-1.9999451878891317,-0.021061122368835134,0.0,0.06274977452055419,0.0,0.043527335021552406,0.0,-3.3039705303190776,0.0,-5.2765189762180125,0.0
0.0,400,2,0.6726190476190477,0.0,0.0,0.0,-1.833820559868774,0.0,0.0,0.043655533279183464,0.0,0.052762163315615,0.0,-4.2474560444835445,0.0,-4.916912809865411,0.0
0.0,1600,0,0.6726190476190477,0.0,0.0,0.0,-1.9705798729760406,0.0,0.0,0.0546226701282495,0.0,-0.25990146652140844,0.0,-4.518502925223588,0.0,0.9003925809702843,0.0
0.0,1600,1,0.6726190476190477,-1.0036044149178614e-15,0.0,0.0,-1.9605013383921144,0.0,0.0,-0.022107662832384075,0.0,-0.03523806364077283,0.0,-3.684676221706082,0.0,0.8998062601059449,0.0
0.0,1600,2,0.6726190476190477,-1.0015766449370063e-15,-1.0015766449370063e-15,-1.0015766449370063e-15,-1.9457491188654572,0.0,0.0,0.031630945330987176,0.0,-0.06468920468377211,0.0,-4.861408037142807,0.0,-2.251849128159536,0.0
0.25,100,0,0.6071428571428571,0.03774225738420561,0.19007255021027308,0.04627271781133801,-2.15241750598644,0.18953121933060493,0.017461698398656286,0.036370023716543666,0.047464746309413934,0.036370023716543666,0.047464746309413934,-4.447953047231364,0.07459328362337113,-1.6085241473247138,0.1492313578747642
0.25,100,1,0.6488095238095238,0.06138587308298253,0.22116704119053998,0.08595566702999988,-2.1267693126290306,0.1984565932597971,0.09231648377885628,0.13963392054046256,0.11350524583985686,0.006835538373706502,0.1122518415309597,-3.0518211480323987,0.13723214484402868,-2.1468221131403413,0.22116704119053998
