gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,target_q95,support_mask,qdt_mode,qdt_denoise,cql_updates,cql_alpha,iql_updates,iql_expectile,iql_awr_beta,iql_weight_clip,iql_final_q_loss,iql_final_v_loss,iql_final_pi_loss,iql_mean_adv_weight,bandit_updates,w_clip
gate2C_support_mask,N100_noise0p05,100,0.05,0,Structured DT,DT,458.9087118354264,425.0469525373324,482.2674723800636,0.5917765058961706,0.38375,0.5606426977177685,5.05875,739.2139892578125,none,,,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p05,100,0.05,0,Structured DT support count>=1,DT,468.435234662372,425.0469525373324,482.2674723800636,0.7582643821533064,0.0,0.8211931416214504,10.21,739.2139892578125,count>=1,,,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p05,100,0.05,0,Structured DT support top3,DT,468.435234662372,425.0469525373324,482.2674723800636,0.7582643821533064,0.0,0.8211931416214504,10.21,739.2139892578125,top3,,,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p05,100,0.05,0,Vanilla DT,DT,460.10994383756,425.0469525373324,482.2674723800636,0.6127695343662923,0.26,0.6597397402334092,10.015,482.6824340820313,none,,,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p05,100,0.05,0,Vanilla DT support top3,DT,460.891666049172,425.0469525373324,482.2674723800636,0.6264311056655503,0.0,0.8517454253263077,12.49375,482.6824340820313,top3,,,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p05,100,0.05,0,Q-DT fixed td denoised,Q-DT,462.1892084541191,425.0469525373324,482.2674723800636,0.6491072786278606,0.495,0.4960757781332984,5.11625,35736.85546875,none,td,True,2000.0,0.1,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p05,100,0.05,0,Q-DT fixed td denoised support top3,Q-DT,466.31861438765526,425.0469525373324,482.2674723800636,0.7212738011426102,0.0,0.8545957090295326,12.33125,35736.85546875,top3,td,True,2000.0,0.1,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p05,100,0.05,0,Q-DT fixed q_sa,Q-DT,457.3742961685904,425.0469525373324,482.2674723800636,0.56496067704573,0.51,0.4691686205476784,4.6025,32323.072265625,none,q_sa,False,2000.0,0.1,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p05,100,0.05,0,Q-DT fixed q_sa support top3,Q-DT,472.6445987085987,425.0469525373324,482.2674723800636,0.8318282724813928,0.0,0.8227438603063604,10.0,32323.072265625,top3,q_sa,False,2000.0,0.1,,,,,,,,,,
gate2B_iql,N100_noise0p05,100,0.05,0,IQL expectile0.7 beta3,IQL,467.2068005242692,425.0469525373324,482.2674723800636,0.7367959624067008,0.43625,0.4757879656160458,4.46625,,none,,,,,2000.0,0.7,3.0,20.0,79.94037742614746,60.4322006225586,0.7143393486738205,6.249637794494629,,
gate2B_iql,N100_noise0p05,100,0.05,0,IQL expectile0.7 beta3 support top3,IQL,479.8445501365202,425.0469525373324,482.2674723800636,0.9576564097949004,0.0,0.8026511405261405,8.4375,,top3,,,,,2000.0,0.7,3.0,20.0,79.94037742614746,60.4322006225586,0.7143393486738205,6.249637794494629,,
