method,nv,off
IQL expectile0.7 beta3 support top3,0.8934214656948574,0.0
Q-DT fixed q_sa support top3,0.8591160061232985,0.0
Q-DT fixed td denoised support top3,0.8497803122978035,0.0
Structured DT support top3,0.7398901142579024,0.0
Structured DT support count>=1,0.7398901142579024,0.0
Q-DT fixed td denoised,0.7085699789172425,0.33255729166666664
Structured DT,0.6775386957750625,0.2542456597222222
Q-DT fixed q_sa,0.6346939179881269,0.42396875
IQL expectile0.7 beta3,0.5677459820523492,0.5114913194444445
Vanilla DT support top3,0.551263782312385,0.0
Vanilla DT,0.49929794385254783,0.12473958333333333
