cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_unseen_rate
N100_noise0p05,100,0.05,IQL expectile0.7 beta3 support top3,IQL,10,0.8401576770042037,0.09465353545570361,0.8499844530570492,0.0
N100_noise0p05,100,0.05,Q-DT fixed q_sa support top3,Q-DT,10,0.7606145753098319,0.09423183118403883,0.7884216574766882,0.0
N100_noise0p05,100,0.05,Structured DT support count>=1,DT,10,0.7097146237628283,0.12168598445396663,0.7172243475846429,0.0
N100_noise0p05,100,0.05,Structured DT support top3,DT,10,0.7097146237628283,0.12168598445396663,0.7172243475846429,0.0
N100_noise0p05,100,0.05,Q-DT fixed td denoised support top3,Q-DT,10,0.7072586573559385,0.15288426980153796,0.7145200371536625,0.0
N100_noise0p05,100,0.05,Q-DT fixed td denoised,Q-DT,10,0.6284491278688226,0.1116071378414577,0.6516157512239173,0.302
N100_noise0p05,100,0.05,Structured DT,DT,10,0.6226674363128997,0.09808339912567826,0.646674803353334,0.26775
N100_noise0p05,100,0.05,Vanilla DT support top3,DT,10,0.5196285446015764,0.07074278543558325,0.503487698713663,0.0
N100_noise0p05,100,0.05,Q-DT fixed q_sa,Q-DT,10,0.5008375105220174,0.07310286618260767,0.5178605698165906,0.503
N100_noise0p05,100,0.05,IQL expectile0.7 beta3,IQL,10,0.47752918023924595,0.33334861576940694,0.5704608361602894,0.51425
N100_noise0p05,100,0.05,Vanilla DT,DT,10,0.39257752141405067,0.13335063071189487,0.39404200485106133,0.20775000000000002
N100_noise0p2,100,0.2,IQL expectile0.7 beta3 support top3,IQL,10,0.8603287337143678,0.05080278318485174,0.8552202340114234,0.0
N100_noise0p2,100,0.2,Q-DT fixed q_sa support top3,Q-DT,10,0.7606145753098319,0.09423183118403883,0.7884216574766882,0.0
N100_noise0p2,100,0.2,Structured DT support count>=1,DT,10,0.7080957647027922,0.12043929174691476,0.7144566741042988,0.0
N100_noise0p2,100,0.2,Structured DT support top3,DT,10,0.7080957647027922,0.12043929174691476,0.7144566741042988,0.0
N100_noise0p2,100,0.2,Q-DT fixed td denoised support top3,Q-DT,10,0.7072586573559385,0.15288426980153796,0.7145200371536625,0.0
N100_noise0p2,100,0.2,Q-DT fixed td denoised,Q-DT,10,0.6306707167606769,0.11139234370564759,0.6520263681970496,0.31062500000000004
N100_noise0p2,100,0.2,Structured DT,DT,10,0.6204083769778238,0.09757202810911215,0.6356649902735028,0.266
N100_noise0p2,100,0.2,IQL expectile0.7 beta3,IQL,10,0.566053798966387,0.16412262695467744,0.5938827509457127,0.564625
N100_noise0p2,100,0.2,Vanilla DT support top3,DT,10,0.5237472775747383,0.07226872218285176,0.5097520680173526,0.0
N100_noise0p2,100,0.2,Q-DT fixed q_sa,Q-DT,10,0.5021312515014295,0.07234730955029878,0.5186625771437658,0.500375
N100_noise0p2,100,0.2,Vanilla DT,DT,10,0.47335151924318986,0.09186716036343062,0.45866900320364107,0.1705
N100_noise0p5,100,0.5,IQL expectile0.7 beta3 support top3,IQL,10,0.8340038160181841,0.05912765481831089,0.8511294078741478,0.0
N100_noise0p5,100,0.5,Q-DT fixed q_sa support top3,Q-DT,10,0.7603295523940118,0.09693327020816064,0.7884216574766882,0.0
N100_noise0p5,100,0.5,Structured DT support count>=1,DT,10,0.7223692876389359,0.08346547779678098,0.712657384243196,0.0
N100_noise0p5,100,0.5,Structured DT support top3,DT,10,0.7223692876389359,0.08346547779678098,0.712657384243196,0.0
N100_noise0p5,100,0.5,Q-DT fixed td denoised support top3,Q-DT,10,0.7164126143175207,0.14811728945845173,0.7145200371536625,0.0
N100_noise0p5,100,0.5,Q-DT fixed td denoised,Q-DT,10,0.6368255095136753,0.10838647575095677,0.6594099618297019,0.307125
N100_noise0p5,100,0.5,Structured DT,DT,10,0.6197201964593767,0.06954316481924717,0.6239887240797011,0.273125
N100_noise0p5,100,0.5,Vanilla DT support top3,DT,10,0.5274438046516179,0.09619572481737768,0.5488088879147157,0.0
N100_noise0p5,100,0.5,Q-DT fixed q_sa,Q-DT,10,0.5021041190786388,0.06589051967584872,0.515926925694253,0.506
N100_noise0p5,100,0.5,Vanilla DT,DT,10,0.4680994213380158,0.13066407323758875,0.45866900320364107,0.20012500000000003
N100_noise0p5,100,0.5,IQL expectile0.7 beta3,IQL,10,0.44054493634183345,0.3197789609523181,0.46744756651541197,0.583625
N1600_noise0p05,1600,0.05,Q-DT fixed td denoised support top3,Q-DT,10,0.918425557266296,0.056138114927055595,0.9291788660911997,0.0
N1600_noise0p05,1600,0.05,IQL expectile0.7 beta3 support top3,IQL,10,0.9182355720627579,0.05612692064697793,0.9498039877383566,0.0
N1600_noise0p05,1600,0.05,Q-DT fixed q_sa support top3,Q-DT,10,0.8947066250857574,0.034142282938900405,0.8935741810596016,0.0
N1600_noise0p05,1600,0.05,Q-DT fixed td denoised,Q-DT,10,0.7696842127241987,0.03303342728962925,0.7671713336430912,0.3000234375
N1600_noise0p05,1600,0.05,Q-DT fixed q_sa,Q-DT,10,0.7458252213557766,0.052008795228822395,0.7671683994933087,0.337515625
N1600_noise0p05,1600,0.05,Structured DT,DT,10,0.705332676638758,0.048835804167453846,0.6962333688512284,0.16140625
N1600_noise0p05,1600,0.05,Structured DT support count>=1,DT,10,0.67505954152712,0.05441181721660918,0.6781845654033997,0.0
N1600_noise0p05,1600,0.05,Structured DT support top3,DT,10,0.67505954152712,0.05441181721660918,0.6781845654033997,0.0
N1600_noise0p05,1600,0.05,IQL expectile0.7 beta3,IQL,10,0.6241095765508169,0.08232685001871203,0.6120802651006796,0.45481249999999995
N1600_noise0p05,1600,0.05,Vanilla DT support top3,DT,10,0.5350800615053524,0.05708559344988528,0.5278200150374793,0.0
N1600_noise0p05,1600,0.05,Vanilla DT,DT,10,0.47505446678197183,0.04706544456499298,0.4916384152976321,0.16899999999999998
N1600_noise0p2,1600,0.2,Q-DT fixed td denoised support top3,Q-DT,10,0.925913839142714,0.05640968253283609,0.9432133608070827,0.0
N1600_noise0p2,1600,0.2,IQL expectile0.7 beta3 support top3,IQL,10,0.9245726747272267,0.048282002550086044,0.9388928157809594,0.0
N1600_noise0p2,1600,0.2,Q-DT fixed q_sa support top3,Q-DT,10,0.9022225883165789,0.0290306314270061,0.9028669811827038,0.0
N1600_noise0p2,1600,0.2,Q-DT fixed td denoised,Q-DT,10,0.7710414770997861,0.020095714489830996,0.7715659823777805,0.3184609375
N1600_noise0p2,1600,0.2,Q-DT fixed q_sa,Q-DT,10,0.7464230544641806,0.054904015465926236,0.7644677942042455,0.3314375
N1600_noise0p2,1600,0.2,Structured DT,DT,10,0.7174120428178982,0.06527435090875745,0.7460032345000475,0.17322656250000001
N1600_noise0p2,1600,0.2,Structured DT support count>=1,DT,10,0.7064799683601762,0.0422685494345896,0.6980635753035764,0.0
N1600_noise0p2,1600,0.2,Structured DT support top3,DT,10,0.7064799683601762,0.0422685494345896,0.6980635753035764,0.0
N1600_noise0p2,1600,0.2,IQL expectile0.7 beta3,IQL,10,0.6160844329733555,0.09038922742102339,0.5966135672249635,0.528640625
N1600_noise0p2,1600,0.2,Vanilla DT,DT,10,0.5858193260507494,0.029303453088226357,0.5873785889384345,0.0155234375
N1600_noise0p2,1600,0.2,Vanilla DT support top3,DT,10,0.5802711715596953,0.028615606621265458,0.5835551968633066,0.0
N1600_noise0p5,1600,0.5,IQL expectile0.7 beta3 support top3,IQL,10,0.9241230209204871,0.05101351872573172,0.9411299055601183,0.0
N1600_noise0p5,1600,0.5,Q-DT fixed q_sa support top3,Q-DT,10,0.9026221386095635,0.027795992445305905,0.9024814216605167,0.0
N1600_noise0p5,1600,0.5,Q-DT fixed td denoised support top3,Q-DT,10,0.8903799095116923,0.07094496278529352,0.8861746771705201,0.0
N1600_noise0p5,1600,0.5,Q-DT fixed q_sa,Q-DT,10,0.7470733963046168,0.04976020752607584,0.7632667320207718,0.347890625
N1600_noise0p5,1600,0.5,Structured DT support count>=1,DT,10,0.7362203101383382,0.03219012601510297,0.7377656159177803,0.0
N1600_noise0p5,1600,0.5,Structured DT support top3,DT,10,0.7362203101383382,0.03219012601510297,0.7377656159177803,0.0
N1600_noise0p5,1600,0.5,Q-DT fixed td denoised,Q-DT,10,0.7347318168568374,0.042172980953154096,0.7298156226358417,0.376
N1600_noise0p5,1600,0.5,Structured DT,DT,10,0.6859261263216349,0.03761560320315994,0.6899008868871135,0.25979687500000004
N1600_noise0p5,1600,0.5,IQL expectile0.7 beta3,IQL,10,0.6219920962490586,0.14597544895564127,0.6837842141984193,0.50153125
N1600_noise0p5,1600,0.5,Vanilla DT,DT,10,0.546438711568163,0.046294175700763954,0.5461679968783208,0.0070390625
N1600_noise0p5,1600,0.5,Vanilla DT support top3,DT,10,0.5389626689847268,0.04328657391103031,0.5440806791007937,0.0
N400_noise0p05,400,0.05,Q-DT fixed td denoised support top3,Q-DT,10,0.9266760273747737,0.020071012315524155,0.933041908577978,0.0
N400_noise0p05,400,0.05,Q-DT fixed q_sa support top3,Q-DT,10,0.916343944203631,0.03291809141128638,0.9179496446936188,0.0
N400_noise0p05,400,0.05,IQL expectile0.7 beta3 support top3,IQL,10,0.9088042488024299,0.05565234672764376,0.9133963864986776,0.0
N400_noise0p05,400,0.05,Structured DT support count>=1,DT,10,0.7890939233122942,0.04921957121569742,0.7914310275992131,0.0
N400_noise0p05,400,0.05,Structured DT support top3,DT,10,0.7890939233122942,0.04921957121569742,0.7914310275992131,0.0
N400_noise0p05,400,0.05,Q-DT fixed td denoised,Q-DT,10,0.7344234459514238,0.053850765955146054,0.7446518653085543,0.36687499999999995
N400_noise0p05,400,0.05,Structured DT,DT,10,0.6948597365146505,0.08355612152331823,0.7046260816549292,0.29103124999999996
N400_noise0p05,400,0.05,Q-DT fixed q_sa,Q-DT,10,0.6722638327423816,0.10930592415670623,0.6970625054210089,0.42309374999999994
