gate,cell_id,N,noise,seed,method,family,v_policy,v_behaviour_expected,v_optimal_same_start,nv,selected_unseen_rate,mean_behavior_prob,mean_logged_count,target_q95,support_mask,qdt_mode,qdt_denoise,cql_updates,cql_alpha,iql_updates,iql_expectile,iql_awr_beta,iql_weight_clip,iql_final_q_loss,iql_final_v_loss,iql_final_pi_loss,iql_mean_adv_weight
gate2C_support_mask,N100_noise0p2,100,0.2,0,Structured DT,DT,458.4780203103495,425.0469525373324,482.26747238006357,0.5842496339582612,0.38375,0.5610469954141841,5.3125,735.9463500976562,none,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,0,Structured DT support count>=1,DT,468.43523466237195,425.0469525373324,482.26747238006357,0.7582643821533064,0.0,0.8211931416214504,10.21,735.9463500976562,count>=1,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,0,Structured DT support top3,DT,468.43523466237195,425.0469525373324,482.26747238006357,0.7582643821533064,0.0,0.8211931416214504,10.21,735.9463500976562,top3,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,0,Vanilla DT,DT,463.23403264157577,425.0469525373324,482.26747238006357,0.667366885327141,0.2325,0.6632637880113017,10.40875,487.80908203125,none,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,0,Vanilla DT support top3,DT,460.89166604917204,425.0469525373324,482.26747238006357,0.6264311056655503,0.0,0.8517454253263077,12.49375,487.80908203125,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,0,Q-DT fixed td denoised,Q-DT,460.7743761766927,425.0469525373324,482.26747238006357,0.6243813187569083,0.525,0.4742954877939398,4.35875,36664.39453125,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,0,Q-DT fixed td denoised support top3,Q-DT,466.31861438765526,425.0469525373324,482.26747238006357,0.7212738011426102,0.0,0.8545957090295326,12.33125,36664.39453125,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,0,Q-DT fixed q_sa,Q-DT,457.28978951395914,425.0469525373324,482.26747238006357,0.563483817785039,0.5175,0.46477428345075406,4.5275,33118.24609375,none,q_sa,False,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,0,Q-DT fixed q_sa support top3,Q-DT,472.6445987085987,425.0469525373324,482.26747238006357,0.8318282724813928,0.0,0.8227438603063604,10.0,33118.24609375,top3,q_sa,False,2000.0,0.1,,,,,,,,
gate2B_iql,N100_noise0p2,100,0.2,0,IQL expectile0.7 beta3,IQL,462.68929707775453,425.0469525373324,482.26747238006357,0.6578469514761655,0.5475,0.4111914533255162,3.285,,none,,,,,2000.0,0.7,3.0,20.0,219.92149124145507,64.88860492706299,0.6862078875303268,5.776725172996521
gate2B_iql,N100_noise0p2,100,0.2,0,IQL expectile0.7 beta3 support top3,IQL,480.53520287318594,425.0469525373324,482.26747238006357,0.9697264283575417,0.0,0.8079203712953713,8.3775,,top3,,,,,2000.0,0.7,3.0,20.0,219.92149124145507,64.88860492706299,0.6862078875303268,5.776725172996521
gate2C_support_mask,N100_noise0p2,100,0.2,1,Structured DT,DT,457.40290936961065,421.1367484506907,477.84490227066374,0.6395228635735757,0.2325,0.599958291079198,4.8,706.485595703125,none,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,1,Structured DT support count>=1,DT,469.3185154845456,421.1367484506907,477.84490227066374,0.8496444300904917,0.0,0.7618062094155844,8.165,706.485595703125,count>=1,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,1,Structured DT support top3,DT,469.3185154845456,421.1367484506907,477.84490227066374,0.8496444300904917,0.0,0.7618062094155844,8.165,706.485595703125,top3,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,1,Vanilla DT,DT,448.09718082580264,421.1367484506907,477.84490227066374,0.4754242654539793,0.115,0.7523137781758472,15.3325,499.24407958984375,none,,,,,,,,,,,,
gate2C_support_mask,N100_noise0p2,100,0.2,1,Vanilla DT support top3,DT,450.0872144027601,421.1367484506907,477.84490227066374,0.5105168128727341,0.0,0.8011600378787879,14.7575,499.24407958984375,top3,,,,,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,1,Q-DT fixed td denoised,Q-DT,463.7034744224852,421.1367484506907,477.84490227066374,0.7506279627252157,0.24,0.6080303030303031,5.76875,37220.99609375,none,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,1,Q-DT fixed td denoised support top3,Q-DT,472.5928160670275,421.1367484506907,477.84490227066374,0.907383932470988,0.0,0.7690616206709957,7.945,37220.99609375,top3,td,True,2000.0,0.1,,,,,,,,
gate2A_fixed_value_guided_dt,N100_noise0p2,100,0.2,1,Q-DT fixed q_sa,Q-DT,440.307666729662,421.1367484506907,477.84490227066374,0.3380628179120721,0.635,0.3613460558318978,2.8475,33486.15234375,none,q_sa,False,2000.0,0.1,,,,,,,,
