method,family,n_runs,mean_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
Q-DT fixed td denoised support top3,Q-DT,10,0.9266760273747737,0.9330419085779779,474.62190651113116,0.0,0.7550156941458144
Q-DT fixed q_sa support top3,Q-DT,10,0.916343944203631,0.9179496446936187,474.02736260657895,0.0,0.7681520236167946
IQL expectile0.7 beta3 support top3,IQL,10,0.9088042488024299,0.9133963864986776,473.60228565985847,0.0,0.7297058965864852
Structured DT support top3,DT,10,0.7890939233122942,0.7914310275992131,466.8072175461102,0.0,0.7654071959156827
Structured DT support count>=1,DT,10,0.7890939233122942,0.7914310275992131,466.8072175461102,0.0,0.7654071959156827
Q-DT fixed td denoised,Q-DT,10,0.7344234459514238,0.7446518653085543,463.70825658313777,0.36687499999999995,0.5123588764691328
Structured DT,DT,10,0.6948597365146505,0.7046260816549292,461.46762689857314,0.29103124999999996,0.5594860844352536
Q-DT fixed q_sa,Q-DT,10,0.6722638327423816,0.6970625054210089,460.18130744096743,0.42309374999999994,0.43890736375980255
Vanilla DT support top3,DT,10,0.5750172643952302,0.5705068795392252,454.64567998261543,0.0,0.7833422685868126
IQL expectile0.7 beta3,IQL,10,0.5583983312279571,0.6194622547784728,453.70253300997757,0.46218750000000003,0.39209195670796515
Vanilla DT,DT,10,0.41066832643354195,0.4233782145658742,445.2996217534711,0.25315625,0.6365247701386473
