cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N400_noise0p5,400,0.5,Q-DT fixed td denoised support top3,Q-DT,10,0.9290215209805843,0.020705497193736266,0.9375226061921138,474.7577148715771,0.0,0.7548782255562616
N400_noise0p5,400,0.5,IQL expectile0.7 beta3 support top3,IQL,10,0.9184788845486065,0.05533150304778709,0.9522457256438736,474.1596825942382,0.0,0.7361629173600923
N400_noise0p5,400,0.5,Q-DT fixed q_sa support top3,Q-DT,10,0.9173573742568456,0.026660944596918545,0.9201761987655939,474.08814600041217,0.0,0.7670199864301355
N400_noise0p5,400,0.5,Structured DT support count>=1,DT,10,0.8169557379421775,0.05832589759238007,0.8134671026528808,468.38760208021813,0.0,0.7658197217104173
N400_noise0p5,400,0.5,Structured DT support top3,DT,10,0.8169557379421775,0.05832589759238007,0.8134671026528808,468.38760208021813,0.0,0.7658197217104173
N400_noise0p5,400,0.5,Q-DT fixed td denoised,Q-DT,10,0.7347020830111195,0.07305765545677187,0.7409129623440306,463.73290916811027,0.3501875,0.5324985199184805
N400_noise0p5,400,0.5,Structured DT,DT,10,0.7188168206784543,0.048268536524864895,0.7096863274558074,462.81562876634734,0.29328125,0.5589125251785385
N400_noise0p5,400,0.5,Q-DT fixed q_sa,Q-DT,10,0.6260833559212301,0.15909006455914493,0.6681315170896249,457.5759583038847,0.4419375,0.42082441138753734
N400_noise0p5,400,0.5,IQL expectile0.7 beta3,IQL,10,0.6018475325390085,0.16921505880573873,0.6546900361002861,456.1958367271551,0.52675,0.34571176172275675
N400_noise0p5,400,0.5,Vanilla DT support top3,DT,10,0.5735422261846435,0.05088604535007136,0.5902483286816993,454.5571008705939,0.0,0.8217945125765025
N400_noise0p5,400,0.5,Vanilla DT,DT,10,0.5592599792889561,0.06085433019775754,0.5698534860304103,453.75038095971905,0.04153125,0.7884804059589873
