seed,N,noise,backend,ho_logmse_A,ho_logmse_B,ho_logmse_LightGBM,true_rmse_A,true_rmse_B,true_rmse_LightGBM,A_structured,B_mlp,LightGBM,LightGBM_smoothByStart,LightGBM_lowvar,tgt_std_A,tgt_std_LightGBM,qsurf_resid_A,qsurf_resid_LightGBM,qsurf_disp_A,qsurf_disp_LightGBM
0,100,0.5,lightgbm,0.2972,0.2528,0.2867,317.357,10.046,23.664,0.609,0.653,0.436,0.436,0.436,226.1,188.3,99.77,24.63,118.19,30.51
1,100,0.5,lightgbm,0.2885,0.2651,0.3127,240.601,10.132,28.24,0.509,0.253,0.31,0.242,0.31,206.2,228.1,72.23,28.0,86.52,34.61
2,100,0.5,lightgbm,0.28,0.2665,0.2783,260.254,9.455,25.852,0.644,0.408,0.383,0.383,0.383,219.9,193.7,84.3,28.75,99.88,34.03
3,100,0.5,lightgbm,0.2673,0.2353,0.2801,303.531,9.245,27.414,0.117,0.411,0.032,-0.047,0.032,212.5,180.1,93.6,27.38,110.81,33.84
4,100,0.5,lightgbm,0.2964,0.2773,0.2955,235.317,9.364,25.05,0.695,0.163,0.329,0.301,0.329,197.4,210.5,71.84,28.57,85.78,32.95
5,100,0.5,lightgbm,0.2688,0.2787,0.2729,341.497,11.165,23.434,0.465,0.41,0.333,0.333,0.333,209.6,233.7,101.33,28.65,120.13,33.15
6,100,0.5,lightgbm,0.2627,0.2478,0.2933,263.234,13.099,21.127,0.615,0.127,0.552,0.577,0.552,196.3,172.4,81.07,26.15,95.86,34.91
7,100,0.5,lightgbm,0.2142,0.2058,0.2206,267.18,9.195,28.677,0.54,0.412,0.402,0.402,0.428,210.5,250.8,84.56,29.64,100.49,35.35
8,100,0.5,lightgbm,0.2543,0.244,0.2965,235.922,7.081,17.465,0.669,0.334,0.533,0.533,0.533,210.7,164.6,75.25,21.92,89.61,27.25
9,100,0.5,lightgbm,0.256,0.2337,0.2576,322.869,13.614,25.077,0.746,0.325,0.45,0.45,0.475,220.9,179.9,99.4,28.66,118.33,32.19
