dataset,seed,arm,mask,ret_mean,ret_sd,off_bare_top3,off_bare_bcq_tau,size_top3,size_tau
expert,0,BC,bare,0.35999999999999993,0.4138780255099321,0.0,0.0,3.0,1.4756923076923076
expert,0,BC,top3,0.35999999999999993,0.4138780255099321,0.0,0.0,3.0,1.4756923076923076
expert,0,BC,bcq_tau,0.35999999999999993,0.4138780255099321,0.0,0.0,3.0,1.4756923076923076
expert,0,CQL,bare,0.32510999999999995,0.4139028846239175,0.0,0.025362850021990912,3.0,1.4874651810584958
expert,0,CQL,top3,0.32510999999999995,0.4139028846239175,0.0,0.025362850021990912,3.0,1.4874651810584958
expert,0,CQL,bcq_tau,0.36134,0.41714813244218174,0.0,0.025362850021990912,3.0,1.508649984553599
expert,0,IQL,bare,0.23157,0.3860760353868134,0.0,0.06949657046719296,3.0,1.6772356671411932
expert,0,IQL,top3,0.23157,0.3860760353868134,0.0,0.06949657046719296,3.0,1.6772356671411932
expert,0,IQL,bcq_tau,0.25581,0.3967128859767477,0.0,0.06949657046719296,3.0,1.750367107195301
expert,0,DT,bare,0.42217999999999994,0.37887890888778697,0.0,0.19439813271090364,3.0,1.221407135711904
expert,0,DT,top3,0.42217999999999994,0.37887890888778697,0.0,0.19439813271090364,3.0,1.221407135711904
expert,0,DT,bcq_tau,0.4115,0.39448674248952903,0.0,0.19439813271090364,3.0,1.275702479338843
expert,0,Q-DT,bare,0.36172999999999994,0.3639406779957415,0.0,0.2009692563986067,3.0,1.2186884749356353
expert,0,Q-DT,top3,0.36172999999999994,0.3639406779957415,0.0,0.2009692563986067,3.0,1.2186884749356353
expert,0,Q-DT,bcq_tau,0.39003,0.4019663780715994,0.0,0.2009692563986067,3.0,1.2688913845660195
expert,0,random (no learner),bare,0.01325,0.09670267576442752,0.5697215189873418,0.8112405063291139,3.0,1.3257721518987342
expert,0,random (no learner),top3,0.04569,0.18846886719031342,0.5697215189873418,0.8112405063291139,3.0,1.3103881159117063
expert,0,random (no learner),bcq_tau,0.43583999999999995,0.3899744791649833,0.5697215189873418,0.8112405063291139,3.0,1.308379120879121
expert,1,BC,bare,0.37550999999999995,0.41296952659972375,0.0,0.0,3.0,1.4208457789655715
expert,1,BC,top3,0.37550999999999995,0.41296952659972375,0.0,0.0,3.0,1.4208457789655715
expert,1,BC,bcq_tau,0.37550999999999995,0.41296952659972375,0.0,0.0,3.0,1.4208457789655715
expert,1,CQL,bare,0.42888,0.40116306609656877,0.0,0.016359918200409,3.0,1.3640081799591002
expert,1,CQL,top3,0.42888,0.40116306609656877,0.0,0.016359918200409,3.0,1.3640081799591002
expert,1,CQL,bcq_tau,0.41724999999999995,0.404946301995709,0.0,0.016359918200409,3.0,1.377071129707113
expert,1,IQL,bare,0.4055,0.41905831336461996,0.0,0.0287603305785124,3.0,1.4449586776859504
expert,1,IQL,top3,0.4055,0.41905831336461996,0.0,0.0287603305785124,3.0,1.4449586776859504
expert,1,IQL,bcq_tau,0.40271,0.41686446946219824,0.0,0.0287603305785124,3.0,1.4250945568163131
expert,1,DT,bare,0.4434699999999999,0.36323566606268165,0.0,0.20629190304280556,3.0,1.2348289496303937
expert,1,DT,top3,0.4434699999999999,0.36323566606268165,0.0,0.20629190304280556,3.0,1.2348289496303937
expert,1,DT,bcq_tau,0.4752899999999999,0.39108409057388155,0.0,0.20629190304280556,3.0,1.2616718951836132
