policy,qhat,clip,estimator,value,ci95_low,ci95_high,n_train_episodes,n_test_episodes,target_q95,step_ess,step_ess_frac,terminal_ess,terminal_ess_frac,max_step_weight,p95_step_weight,mean_pb_at_target_argmax,target_argmax_pb_lt_0.01,mean_target_prob_on_logged_action
logged_policy_estimated,weak_action_only,1.0,DM,0.21806086867114813,0.21398549023378977,0.22210305640407194,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,1.0,IPS,0.37672698779219305,0.34821996496137053,0.4083281252994643,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,1.0,SNIPS,0.37672698779219305,0.34585303371736,0.41100271962254675,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,1.0,DR,0.3767792786486494,0.3494940570037582,0.4028255670797262,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,3.0,DM,0.21806086867114813,0.21474245844528211,0.22247534981439265,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,3.0,IPS,0.37672698779219305,0.3490656522629648,0.4066372618463744,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,3.0,SNIPS,0.37672698779219305,0.34628238398567657,0.40765059921358493,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,3.0,DR,0.3767792786486494,0.3513540283594353,0.4030130141233009,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,10.0,DM,0.21806086867114813,0.21410471535845316,0.2216984341560381,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,10.0,IPS,0.37672698779219305,0.34815920342037043,0.4080308660946089,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
logged_policy_estimated,weak_action_only,10.0,SNIPS,0.37672698779219305,0.34793558981897255,0.4062029541631923,1680,541,,4328.0,1.0,541.0,1.0,1.0,1.0,0.3104033367358729,0.0,0.23418049252992584
